"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"17480",5502.05329126502,4.19300452568673,0.420772236994328,9.96502182662599,2.16826233468769e-23,4.20664575552759e-19
"3207",971.050091934109,9.19945712105799,1.00617105053724,9.14303499007054,6.07237348854327e-20,5.8905059025614e-16
"16695",190.335837869559,-2.32547735747475,0.273822171695532,-8.49265544522995,2.01968402270373e-17,1.3061296574825e-13
"5957",17235.964762448,5.19626029884786,0.61757112642929,8.41402726984974,3.96168558592973e-17,1.92151655131557e-13
"18886",438.664695465866,4.62140577453297,0.585151475220054,7.89779393924459,2.838829527708e-15,1.10152263334126e-11
"16307",8654.72915896067,7.10011107203913,0.936056540390657,7.58513056174572,3.32152425782924e-14,1.07401486876909e-10
"23989",584.46818338292,4.73409216080241,0.626322611726414,7.5585522096244,4.07580413754467e-14,1.1296382296072e-10
"11939",37.3090975883461,4.60685700474667,0.638280339419292,7.21760756243564,5.2910142058487e-13,1.28313708259588e-09
"11978",335.539218667792,4.48577842940373,0.663365919283369,6.76214785687166,1.35960841660852e-11,2.93086254340243e-08
"16598",428.957969106145,4.16673027910806,0.617819826155165,6.74424824635133,1.53821348743415e-11,2.98428798697099e-08
"7955",677.166073841911,3.83781389458376,0.57062667035908,6.72561254833871,1.74855274373176e-11,3.0839701619218e-08
"22048",184.200580407265,-3.16837620279687,0.473336525714549,-6.69370739562912,2.17586284460377e-11,3.51782625401315e-08
"12571",68.3657903853267,4.06332609824291,0.611220837346544,6.64788542858385,2.97333600046157e-11,4.43736090345808e-08
"17679",129.999457978861,3.81724820174735,0.578887843662987,6.59410668842729,4.27823982822612e-11,5.92872363624392e-08
"20490",104.407819742043,-2.04464030862267,0.311088392195812,-6.5725380950109,4.94647262308784e-11,6.09734567431405e-08
"2774",137.836767250648,-3.37311115123539,0.51340408637505,-6.57009018968204,5.02847950049094e-11,6.09734567431405e-08
"18213",55.8898316359864,3.90034187369053,0.595718186418739,6.54729360729793,5.85891079999938e-11,6.68639579004635e-08
"14867",8050.32008094987,0.9965559286971,0.158664761488762,6.28089009397139,3.36640069252732e-10,3.62841887976237e-07
"16836",199.831275434916,1.78577302196227,0.291631911847078,6.12338001918894,9.16108455118048e-10,9.35443165144487e-07
