"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"12876",3225.14496648239,7.35601557194862,0.330391404402764,22.26454887725,8.15391036838361e-110,1.64513295592508e-105
"13833",92491.8164342042,4.62883316112024,0.222877596766169,20.7684990698126,8.34246116249509e-96,8.41587482072505e-92
"2950",14841.0138321356,2.8116876107552,0.149260117019219,18.8375010478732,3.72125141157419e-79,2.50266561599736e-75
"22860",69820.3298453466,5.45955829089854,0.296913062104099,18.3877336086494,1.64723335835597e-75,8.3086450595475e-72
"5957",101351.907221868,8.96027370455104,0.499091036277431,17.9531849968355,4.53154621068687e-72,1.82856952693637e-68
"10425",2773.05063491735,-2.23848889898812,0.132039465755579,-16.9531805220405,1.82318440722285e-64,6.1307614333547e-61
"3484",1339.34029669681,9.59410665603552,0.578629082518543,16.5807543137586,9.60160293914655e-62,2.76745629857458e-58
"16050",1187.86027254294,3.0041783821207,0.186274825087687,16.1276671751349,1.63064419786572e-58,4.11248466701734e-55
"16641",63111.5268761781,10.276745963827,0.641720083956624,16.0143748353085,1.01420958715643e-57,2.27363251449645e-54
"8355",304.729458729794,-3.76115020758648,0.23825024697871,-15.7865532367006,3.85052950632085e-56,7.76882833195295e-53
"19180",3558.03525355244,7.96935678249378,0.510995943557637,15.5957339445981,7.78238427861295e-55,1.42743077459359e-51
"18312",5054.50733530995,6.84716654232284,0.446090020438656,15.3492932560782,3.5806597459928e-53,6.02028258626256e-50
"19311",476.411905967384,3.52315896806504,0.229624687925518,15.3431192433795,3.93808163976651e-53,6.11190270491762e-50
"19531",1976.65904933828,7.95037339280837,0.52045327939777,15.2758637663076,1.10750764552e-52,1.59607673257225e-49
"9722",1097.57337654571,-2.71398336064661,0.177862532573803,-15.2588817969319,1.43689587239373e-52,1.93272074142773e-49
"17480",52566.8483488904,7.68229827828486,0.507416610233318,15.1400212830093,8.81851576842718e-52,1.11201483839867e-48
"13270",713.568945102565,2.8939189012479,0.191735989110036,15.0932483498812,1.79388823871911e-51,2.12902877084686e-48
"3731",1352.87554650135,-3.17029627284707,0.211028984359131,-15.0230371551798,5.18753218550186e-51,5.81464718748253e-48
"16688",493.837716222979,-6.03736603453536,0.402361915755579,-15.0048148150355,6.82812502312445e-51,7.25075002455574e-48
"13380",8242.64744353215,9.01852745789822,0.610004203541036,14.7843693626146,1.84779886711715e-49,1.86405949714778e-46
"10800",19449.0758726384,10.9032381709607,0.748102911915155,14.5745164165292,4.08001473740428e-48,3.91992273056518e-45
"16598",1849.18669039644,6.68520297554596,0.459773329506697,14.540214811326,6.73808786136397e-48,6.1794391223127e-45
"11978",4689.00652522811,9.12165845092698,0.643878937405845,14.1667290557409,1.47198747274772e-45,1.29125301087643e-42
"2699",1862.13335415348,3.16821448359531,0.231536662097277,13.6834247107882,1.27541302985737e-42,1.07219722043343e-39
"12322",435.315038427606,-5.5520942455164,0.406687704787428,-13.6519845084041,1.96454723775263e-42,1.58546820275588e-39
"21594",643.581752509073,10.0011529578838,0.738023674137016,13.5512630669718,7.78784451759554e-42,6.04336734565414e-39
"11939",413.67988208805,5.99334507589649,0.442762581247369,13.5362501930759,9.55430211507475e-42,7.13954072124994e-39
"23989",4752.71010104311,8.76338945304092,0.651063684001188,13.4601109974135,2.68512555245611e-41,1.88187331633028e-38
"23771",361.257185903381,4.55694016486969,0.338565101629956,13.4595684638824,2.70491307363096e-41,1.88187331633028e-38
"5577",398.657852678266,4.81350837906105,0.35889434709127,13.4120484707354,5.13992239638722e-41,3.45676914231695e-38
"12082",2427.59298590999,6.73299910452887,0.506213227032049,13.3007174545888,2.29257835508719e-40,1.49209873845933e-37
"2052",1663.47833220069,9.35025314868078,0.70331170302258,13.2946076519085,2.4877473108001e-40,1.56852467945946e-37
"5234",4995.44355707344,6.12370366772745,0.461095543665615,13.2807695755315,2.99302206657969e-40,1.82991555197915e-37
"16549",9433.0495716681,8.59535140041715,0.648443938678683,13.2553500583746,4.20151824476054e-40,2.49323035606731e-37
"3814",8090.90201585835,4.57621974458741,0.349217037409194,13.1042281858237,3.11414051191859e-39,1.79516854195627e-36
"14960",7228.68108718599,8.64377124151692,0.659844121181565,13.0997169847308,3.30487695699127e-39,1.85219993011822e-36
"5151",406.863134812867,-2.93665789645429,0.226001752459085,-12.9939607303972,1.32394025703714e-38,7.21941043945442e-36
"8103",3133.5580134679,8.63244507699432,0.669760796982094,12.8888479527193,5.20150143707638e-38,2.76172349985403e-35
"6539",417.821254960915,-2.0700534387695,0.160778008469901,-12.8752275169339,6.20559456579284e-38,3.21036092203683e-35
"3136",1004.00052718449,5.15171756548564,0.408649318664053,12.6066955949603,1.93955957222244e-36,9.78313848229e-34
"18886",5098.80029999371,8.27631409271607,0.657152829801735,12.5941998837821,2.27252614134397e-36,1.11830457140868e-33
"17575",14643.0540844025,10.064013089363,0.801843375213635,12.5510958878742,3.92046294331214e-36,1.88331572248252e-33
"9186",400.652728957043,7.3231649582858,0.584446711322265,12.5300815564822,5.11100917334031e-36,2.39813304840266e-33
"9208",11044.6216761332,6.2454742607982,0.499577917581243,12.5015018498742,7.32541461653837e-36,3.3590355750745e-33
"16608",1195.80051718264,3.62639167151261,0.296384292362081,12.2354381286927,2.01017237930278e-34,9.0127195388473e-32
"7475",936.573316457502,-2.14035314883371,0.175242495996803,-12.2136650511572,2.62779372652636e-34,1.15257317883469e-31
"23166",4914.86736231401,10.0967255975354,0.826909559838695,12.2101933366268,2.74236733143692e-34,1.17723411232066e-31
"8322",12290.2306325283,2.52210397698359,0.207039163062813,12.1817724708364,3.88740541879909e-34,1.63400607770188e-31
"14264",2993.19712160513,9.46610231771781,0.78118393389494,12.1176356898693,8.51811038741348e-34,3.50737541176438e-31
"7955",6015.33779699096,7.99643539135877,0.666331538831922,12.0006857327758,3.5236480965196e-33,1.42186247990759e-30
"6151",416.385723639944,-7.62115144946187,0.637305472487267,-11.9583963710811,5.8684266045538e-33,2.32159559163681e-30
"17356",1904.69668463204,7.68161067913283,0.642959376508863,11.9472721913512,6.70913555428677e-33,2.60314459506327e-30
"12575",383.811235887424,5.19660277824013,0.436357984172268,11.9090356238069,1.06198383849919e-32,4.04275206142637e-30
"19340",1223.74572119128,7.67126133198494,0.644879424823895,11.8956521741717,1.2467525632868e-32,4.65823698460639e-30
"11229",2900.5400876373,15.2329970417439,1.28106705852394,11.8908662434077,1.32030060938617e-32,4.80923606379741e-30
"14239",1143.36358888715,1.40072783500887,0.117807698867094,11.8899515776903,1.33483951017374e-32,4.80923606379741e-30
"16730",357.115033100967,8.97614055960181,0.7564506602275,11.8661282639403,1.7749345108191e-32,6.28264538426074e-30
"11960",858.894341583818,-3.95715947026736,0.336773644610753,-11.7502053191873,7.04474699933638e-32,2.45060026652777e-29
"14302",7164.2208277984,10.9986010985962,0.937807104449596,11.7279993363361,9.15981201477111e-32,3.13234520694952e-29
"504",45414.4154896141,1.3707974226795,0.117399031550942,11.6763946394625,1.68282942071759e-31,5.65879439873303e-29
"11120",311.401736195006,4.43943374345123,0.380351369288738,11.6719278591084,1.77357923523537e-31,5.86618600821455e-29
"15173",56367.7072885452,9.96218750148414,0.854860050047001,11.6535887961268,2.19994830784658e-31,7.15905759017944e-29
"15244",273.064341917285,-3.22500058975604,0.277776016450288,-11.6100757400458,3.66291009362964e-31,1.17306149284241e-28
"15989",172.444425406292,6.87740023128765,0.592827631891115,11.6010115948017,4.07235763040045e-31,1.28381074298374e-28
"20773",13930.6150476309,4.18679519823117,0.361195049323064,11.5915077077548,4.55051061419274e-31,1.41247849464543e-28
"5002",3237.98651554097,4.16670472831373,0.362257860784171,11.5020408923471,1.28832590887912e-30,3.93837326326441e-28
