gene.x gene
9239814 5102825
9276712 6393942
9298469 5156050
9257326 5155891
9194392 5155917
7738574 5155847
7639801 5080329
6838793 5156030
7165712 5155791
7134450 5086532
9297566 5156012
7165624 6486588
6743013 5155801
9298300 5155827
5281306 5080118
2349430 5082039
9130353 6393750
6820343 5155830
9259801 5155751
7632499 11058034
6830551 6486533
9300228 5156187
9207764 5155904
7683541 6390188
9245926 5547253
7729342 5078085
9271316 5156019
7630002 5082104
9237467 5077450
7736680 5155817
7733851 5156280
9194351 568875
7715879 5079265
6789694 10924034
7081674 5636279
9293171 5727941
6773092 5094678
7165423 5156231
7054383 5155922
9290922 5148099
6849814 5155762
6707826 6402626
6783128 10931232
4907424 6486558
6764451 5080277
9301001 5080178
9201403 5156268
9302467 5156105
9216939 5156301
9137367 5155806
7749552 5080362
9190473 5155975
6849435 5080533
7158945 5156119
7065524 5156297
7752004 5156230
7592619 5080588
9135238 5155845
9244806 6486551
9141239 1811037
7701734 5460341
9237215 5079181
7671674 5155984
7708204 5156276
7085405 5077737
9298491 5547254
7049980 5155932
9173934 6486715
9252682 842581
9300549 5155889
7749318 739111
7690436 5089353
7750751 5156073
9300971 5119868
7704627 5156061
6808955 5155783
7042142 5078098
7092996 557296
9249242 5084210
9236115 11058042
6827931 5082752
7717617 5081045
9297392 5156033
9173335 5155822
7736009 719265
9163779 5155987
7634827 5727920
7026849 5105731
9183792 5156100
2696427 6486679
3732830 5156232
7717679 5155722
7665234 5155825
6750484 5156239
6713650 5155800
7624344 5156148
9296672 5156016
7597254 5078461
7750382 428926
7093972 5156202
7673440 5155895
9241977 5080820
9270912 5155823
9290924 5155838
9292106 5156249
7643336 6397248
9246396 5078815
6806521 5156004
9164032 5155912
9300293 5156285
1232903 6395314
1133043 11058073
9299479 6486520
9135710 5155829
9192985 5156258
6829772 5082002
7050364 1302121
7117990 5156041
9243098 6389477
7685109 5087271
9210360 5547246
9132040 5156170
7096702 5156160
7071388 5079416
7154244 5638409
9209157 5156164
7168212 5155733
5120870 5155955
9300936 5155957
7750517 5155959
9299638 5156011
9295380 5156128
9195314 5455198
7732191 5156021
9135461 5156215
9138904 230680
9261638 10904035
9283198 5156279
7164757 5155977
9283324 5156079
9262571 5156269
5880572 2328325
7750960 5155973
9298119 730934
9298415 5156159
9229736 5155949
9170152 2122794
9174034 5155964
4325797 5156093
9136186 5080779
7749112 11058008
9135243 5155849
7751309 5155815
9259616 5156264
7749070 5086584
9299091 5456643
6813923 5156216
8880976 144927
9208002 5081389
9300184 5078042
9226756 5155766
9286268 6395391
9302139 5156028
152927 5156298
9163364 5156244
9299772 5155870
9301926 6486568
9267662 5727898
9190528 5155953
9206517 5156317
9176036 11710176
7641635 5155802
726807 5155723
6791546 6486688
7622578 5084023
7146393 5547179
9299392 3749188
6050415 6486593
9218292 5079573
6786117 5155741
6792029 5547184
7635770 5082408
7125204 5155715
7094101 6390674
7746797 5155958
7719318 934691
7633669 5079557
7731946 5156018
7639046 6486540
9228085 5156270
7638435 5155757
7586676 5462626
7718826 5096452
7164598 5155737
310254 6486494
9254666 5156022
7590650 5156302
6815795 158597
8673073 370879
9192406 6065270
9139162 5156195
7751112 5155813
7627215 5156005
373748 5155934
7684043 5155997
6710419 5156066
7714791 5156315
9230032 5156082
9301818 5156389
9217335 5156294
9239196 5156039
9298981 5155930
7085370 5155808
9228212 6402913
9232740 5082224
9134866 768589
9276888 5155861
