gene.x gene.y
9239814 3012068
9276712 3297546
9298469 3364591
9257326 3288066
9194392 3062798
7738574 831509
7639801 3093036
6838793 3957328
7165712 2846610
7134450 959230
9297566 3575171
7165624 2845259
6743013 2939775
9298300 2747731
5281306 3011395
2349430 1284437
9130353 3501155
6820343 3957260
9259801 3287896
7632499 2983294
6830551 3870573
9300228 3011228
9207764 3092904
7683541 2989591
9245926 3234197
7729342 4559732
9271316 3189261
7630002 3052597
9237467 3575218
7736680 379996
7733851 3092853
9194351 3575490
7715879 2914662
6789694 3011739
7081674 4527412
9293171 3496449
6773092 3870493
7165423 4559514
7054383 2915102
9290922 3284436
6849814 4336288
6707826 3413994
6783128 2990933
4907424 3958282
6764451 3093365
9301001 2848997
9201403 3288507
9302467 831922
9216939 3112605
9137367 3052028
7749552 831848
9190473 3575188
6849435 3957761
7158945 4560253
7065524 3183983
7752004 4559943
7592619 3051953
9135238 2804278
9244806 3364151
9141239 3250343
7701734 3334209
9237215 3575775
7671674 2950580
7708204 3049956
7085405 2915217
9298491 2915507
7049980 3187314
9173934 2914987
9252682 847172
9300549 2914677
7749318 424917
7690436 3750942
7750751 4559543
9300971 3288152
7704627 3052570
6808955 3957976
7042142 3365000
7092996 2915269
9249242 3575608
9236115 3250158
6827931 3364363
7717617 3035214
9297392 3182854
9173335 3364413
7736009 3051707
9163779 2888604
7634827 3093070
7026849 4560070
9183792 3260483
2696427 308002
3732830 3364553
7717679 3037717
7665234 2914993
6750484 3365024
6713650 2940853
7624344 3751006
9296672 3112338
7597254 2987639
7750382 3011648
7093972 2914744
7673440 3192537
9241977 3243534
9270912 2847864
9290924 3182935
9292106 2845537
7643336 2192846
9246396 3182681
6806521 2940155
9164032 3258288
9300293 3364841
1232903 3019383
1133043 2914635
9299479 2914859
9135710 2911135
9192985 3575509
6829772 3896167
7050364 3260606
7117990 2915601
9243098 3220725
7685109 3052583
9210360 3093480
9132040 3261046
7096702 3259936
7071388 3206804
7154244 4560013
9209157 3876031
7168212 3348699
5120870 3051967
9300936 3575819
7750517 3875587
9299638 3364475
9295380 3216048
9195314 3011332
7732191 3051767
9135461 2858656
9138904 3184193
9261638 5264909
9283198 3239426
7164757 3260074
9283324 2915499
9262571 4475472
5880572 4560206
7750960 3052095
9298119 2915108
9298415 3666854
9229736 3575610
9170152 666688
9174034 3288036
4325797 3011794
9136186 3288142
7749112 3052110
9135243 3011406
7751309 2915597
9259616 2846672
7749070 3051598
9299091 3291442
6813923 3365174
8880976 3011379
9208002 3364679
9300184 3364598
9226756 3093060
9286268 3302328
9302139 3259882
152927 4460365
9163364 3287907
9299772 3287853
9301926 3112826
9267662 3011852
9190528 3093019
9206517 2915385
9176036 3364345
7641635 3093329
726807 3751667
6791546 3888736
7622578 3052234
7146393 4560211
9299392 3575376
6050415 2914740
9218292 3092505
6786117 2939856
6792029 3011515
7635770 831934
7125204 3260847
7094101 4559795
7746797 810758
7719318 3751769
7633669 3751758
7731946 811794
7639046 2991922
9228085 3575779
7638435 3751276
7586676 3751401
7718826 3879205
7164598 4560308
310254 4462006
9254666 3012003
7590650 3751076
6815795 3873554
8673073 3230595
9192406 2915208
9139162 3288190
7751112 3051676
7627215 3663862
373748 3261093
7684043 831845
6710419 3011175
7714791 3093518
9230032 3218356
9301818 3287571
9217335 3011949
9239196 3575463
9298981 3575711
7085370 3261023
9228212 3248413
9232740 3287530
9134866 3575416
9276888 3011819
7715533 3751060
89967 3365162
7132429 3187268
9163653 3365116
9276287 3260833
7709177 3051636
6765534 3288637
5013349 812933
6748611 3365110
9181246 3093178
9225421 3871013
6850162 2940232
6824397 2949167
9299109 3260431
7705992 3260616
7643142 3666963
9298472 10364840
3098643 2972580
9302071 2028641
7670667 3052351
7694160 3677992
9131397 3062800
6838008 3957859
9297353 3288428
6792337 2954380
7751387 2297287
7165826 4560141
7141172 4560084
9301506 4044096
7750155 3052475
9301774 3575800
6461742 3870933
9179357 3957443
7737289 3011375
9265368 2948913
