#file	Good_sequences	Good_mean_length	trim_qual_right	min_len	lc_method
/genesis/extscratch/spruceup/interior_spruce/PG29/data/reads/Fastq/C088EACXX_2_R1.fq.gz	  168,364,754 (96.60%)	  142.86	  2760985	  3171369	  824
/genesis/extscratch/spruceup/interior_spruce/PG29/data/reads/Fastq/A1JKA_1_R2.fq.gz	  9,757,930 (97.91%)	  227.21	  159622	  45635	  2458
/genesis/extscratch/spruceup/interior_spruce/PG29/data/reads/Fastq/A0YH4_1_R2.fq.gz	  6,598,034 (93.99%)	  201.25	  308485	  113074	  329
/genesis/extscratch/spruceup/interior_spruce/PG29/data/reads/Fastq/A1JP0_1_R1.fq.gz	  7,610,099 (97.16%)	  274.52	  119921	  101263	  727
/genesis/extscratch/spruceup/interior_spruce/PG29/data/reads/Fastq/A0YV3_1_R1.fq.gz	  6,109,065 (97.30%)	  182.99	  109571	  59813	  99
/genesis/extscratch/spruceup/interior_spruce/PG29/data/reads/Fastq/C088EACXX_3_R1.fq.gz	  147,759,443 (96.87%)	  142.93	  1979472	  2800614	  857
/genesis/extscratch/spruceup/interior_spruce/PG29/data/reads/Fastq/C088EACXX_5_R1.fq.gz	  188,511,501 (95.48%)	  139.28	  4253131	  4679133	  820
/genesis/extscratch/spruceup/interior_spruce/PG29/data/reads/Fastq/A1JRM_1_R2.fq.gz	  7,461,460 (97.96%)	  240.90	  98030	  55229	  1339
/genesis/extscratch/spruceup/interior_spruce/PG29/data/reads/Fastq/A1JRN_1_R1.fq.gz	  6,920,234 (96.57%)	  277.88	  44198	  199724	  1138
/genesis/extscratch/spruceup/interior_spruce/PG29/data/reads/Fastq/A1JRU_1_R2.fq.gz	  7,624,727 (96.29%)	  252.12	  182244	  108471	  1571
/genesis/extscratch/spruceup/interior_spruce/PG29/data/reads/Fastq/A1JT4_1_R1.fq.gz	  7,692,601 (98.11%)	  278.29	  63493	  84349	  617
/genesis/extscratch/spruceup/interior_spruce/PG29/data/reads/Fastq/A0T57_1_R2.fq.gz	  4,693,563 (95.51%)	  214.19	  146417	  73800	  219
/genesis/extscratch/spruceup/interior_spruce/PG29/data/reads/Fastq/A0YG7_1_R2.fq.gz	  7,336,831 (93.67%)	  192.77	  350177	  145236	  605
/genesis/extscratch/spruceup/interior_spruce/PG29/data/reads/Fastq/A0YG7_1_R1.fq.gz	  7,527,739 (96.10%)	  244.52	  168474	  136507	  129
/genesis/extscratch/spruceup/interior_spruce/PG29/data/reads/Fastq/A0YH4_1_R1.fq.gz	  6,809,327 (97.00%)	  247.47	  120956	  89545	  94
/genesis/extscratch/spruceup/interior_spruce/PG29/data/reads/Fastq/A1JT5_1_R2.fq.gz	  7,433,302 (97.07%)	  248.08	  58464	  163912	  1001
/genesis/extscratch/spruceup/interior_spruce/PG29/data/reads/Fastq/A221C_1_R1.fq.gz	  9,194,974 (99.28%)	  248.38	  53113	  9035	  1347
/genesis/extscratch/spruceup/interior_spruce/PG29/data/reads/Fastq/A0YV3_1_R2.fq.gz	  5,902,687 (94.01%)	  102.12	  272981	  101548	  1332
/genesis/extscratch/spruceup/interior_spruce/PG29/data/reads/Fastq/A1JKA_1_R1.fq.gz	  9,879,679 (99.13%)	  265.77	  56255	  20794	  4731
/genesis/extscratch/spruceup/interior_spruce/PG29/data/reads/Fastq/A1JT4_1_R2.fq.gz	  7,622,651 (97.21%)	  246.10	  179139	  35823	  1855
/genesis/extscratch/spruceup/interior_spruce/PG29/data/reads/Fastq/A1JT5_1_R1.fq.gz	  7,427,541 (97.00%)	  279.49	  43453	  181434	  3353
/genesis/extscratch/spruceup/interior_spruce/PG29/data/reads/Fastq/A1JRR_1_R2.fq.gz	  8,799,164 (99.36%)	  247.62	  48747	  4822	  1889
/genesis/extscratch/spruceup/interior_spruce/PG29/data/reads/Fastq/A1JRU_1_R1.fq.gz	  7,724,112 (97.54%)	  278.56	  104921	  87724	  1043
/genesis/extscratch/spruceup/interior_spruce/PG29/data/reads/Fastq/C088EACXX_5_R2.fq.gz	  190,079,284 (96.27%)	  131.56	  3254564	  4107688	  3049
/genesis/extscratch/spruceup/interior_spruce/PG29/data/reads/Fastq/C088EACXX_6_R1.fq.gz	  189,251,262 (95.63%)	  139.41	  3914566	  4724721	  1684
/genesis/extscratch/spruceup/interior_spruce/PG29/data/reads/Fastq/C088EACXX_8_R1.fq.gz	  189,226,004 (95.56%)	  140.10	  3981489	  4807397	  1037
/genesis/extscratch/spruceup/interior_spruce/PG29/data/reads/Fastq/A1JP0_1_R2.fq.gz	  7,562,730 (96.56%)	  245.41	  137984	  129580	  1069
/genesis/extscratch/spruceup/interior_spruce/PG29/data/reads/Fastq/A1JRM_1_R1.fq.gz	  7,462,359 (97.98%)	  276.95	  67994	  83153	  2191
/genesis/extscratch/spruceup/interior_spruce/PG29/data/reads/Fastq/A1JRN_1_R2.fq.gz	  6,897,944 (96.26%)	  243.59	  66707	  199624	  1234
/genesis/extscratch/spruceup/interior_spruce/PG29/data/reads/Fastq/A1JRR_1_R1.fq.gz	  8,789,590 (99.25%)	  272.57	  42803	  17108	  4420
/genesis/extscratch/spruceup/interior_spruce/PG29/data/reads/Fastq/A221C_1_R2.fq.gz	  9,200,603 (99.34%)	  245.71	  51359	  4617	  1761
/genesis/extscratch/spruceup/interior_spruce/PG29/data/reads/Fastq/A0T57_1_R1.fq.gz	  4,786,710 (97.41%)	  263.75	  74875	  52283	  131
/genesis/extscratch/spruceup/interior_spruce/PG29/data/reads/Fastq/C088EACXX_1_R1.fq.gz	  147,470,367 (97.38%)	  143.47	  1772228	  2199978	  567
/genesis/extscratch/spruceup/interior_spruce/PG29/data/reads/Fastq/C088EACXX_1_R2.fq.gz	  147,597,270 (97.46%)	  139.72	  1827119	  2016752	  1999
/genesis/extscratch/spruceup/interior_spruce/PG29/data/reads/Fastq/C088EACXX_2_R2.fq.gz	  168,623,278 (96.74%)	  136.77	  2489393	  3181766	  3495
/genesis/extscratch/spruceup/interior_spruce/PG29/data/reads/Fastq/C088EACXX_3_R2.fq.gz	  148,350,842 (97.25%)	  138.92	  1775673	  2411350	  2521
/genesis/extscratch/spruceup/interior_spruce/PG29/data/reads/Fastq/C088EACXX_4_R1.fq.gz	  221,131,973 (93.39%)	  137.81	  7624094	  8018060	  1317
/genesis/extscratch/spruceup/interior_spruce/PG29/data/reads/Fastq/C088EACXX_4_R2.fq.gz	  223,504,317 (94.40%)	  128.98	  6172502	  7093846	  4779
/genesis/extscratch/spruceup/interior_spruce/PG29/data/reads/Fastq/C088EACXX_6_R2.fq.gz	  190,599,385 (96.31%)	  128.93	  3174012	  4115824	  3012
/genesis/extscratch/spruceup/interior_spruce/PG29/data/reads/Fastq/C088EACXX_7_R1.fq.gz	  184,965,014 (95.69%)	  140.06	  4390469	  3941645	  1024
/genesis/extscratch/spruceup/interior_spruce/PG29/data/reads/Fastq/C088EACXX_7_R2.fq.gz	  186,014,511 (96.23%)	  131.14	  3426040	  3854440	  3161
/genesis/extscratch/spruceup/interior_spruce/PG29/data/reads/Fastq/C088EACXX_8_R2.fq.gz	  190,617,320 (96.26%)	  130.15	  3320865	  4074115	  3627
/genesis/extscratch/spruceup/interior_spruce/PG29/data/reads/Fastq/D08CWACXX_7_R1.fq.gz	  139,172,798 (97.00%)	  138.37	  1487996	  2812339	  1338
/genesis/extscratch/spruceup/interior_spruce/PG29/data/reads/Fastq/D08CWACXX_2_R1.fq.gz	  176,093,165 (96.17%)	  139.16	  2509170	  4495372	  2110
/genesis/extscratch/spruceup/interior_spruce/PG29/data/reads/Fastq/D0G2RACXX_2_R1.fq.gz	  125,757,588 (98.03%)	  144.83	  1273052	  1248691	  901
