trans	PG29v5	Q903	WS77111v2
contig00782--3393-1620	3	1	1
contig00834--3748-661	0	2	0
contig00920--3067-387	1	2	0
contig01257--3578-118	0	2	1
contig01614--2962-1317	0	0	2
contig02129--2344-668	0	1	2
contig02823--392-3077	0	0	2
contig03276--2813-137	0	1	0
contig03450--2058-375	2	3	3
contig03598--2538-954	1	1	1
contig04516--205-2814	0	1	0
contig04653--217-1636	2	1	1
contig04873--2355-426	1	0	3
contig04892--2347-723	1	1	1
contig05213--2735-3	0	1	2
contig06293--2129-113	0	1	1
contig06594--723-2321	1	1	1
contig06934--2084-493	1	2	1
contig07309--2373-53	1	2	3
contig10378--1157-134	2	2	0
contig11914--2114-465	2	1	6
contig11945--2017-527	0	1	0
contig12018--1517-116	1	1	1
contig12222--1733-296	1	1	1
contig12654--2260-755	1	3	1
contig13384--1427-3	1	0	2
contig13942--1827-243	0	2	2
contig14127--2201-813	1	2	2
contig14351--2193-631	0	1	1
contig14700--2113-485	1	3	1
contig16042--2135-74	2	1	1
contig16621--1789-434	1	1	2
contig17675--1669-7	1	2	3
contig17713--2083-495	1	1	2
contig19512--1614-185	1	1	1
contig21134--1701-75	2	0	2
contig21644--1821-235	2	2	3
contig23602--1931-533	1	1	2
contig23851--1582-11	1	1	1
contig29561--2-1707	1	0	2
contig33264--40-1604	2	2	1
contig36974--0-1407	0	1	4
contig37930--1227-3	1	2	2
contig39121--1593-3	0	2	1
contig45195--278-1588	1	1	2
contig52393--1404-4	0	0	3
contig56261--0-1468	1	2	0
contig62834--2-1409	2	3	2
contig73791--0-1314	1	2	1
GQ0196_P07.1	0	1	2
GQ02014_G23.1	1	0	0
GQ0204_I06.1	1	1	1
GQ0205_C19.1	1	1	2
GQ0207_I23.1	0	0	1
GQ0209_M12.1	1	1	1
GQ027124_B02.2	0	1	0
GQ02747_G07.2	1	1	1
GQ02902_H13.2	0	0	1
GQ03117_N09.4	0	1	1
GQ03120_B17.1	0	0	1
GQ03126_O03.1	0	0	1
GQ03209_D12.2	0	1	1
GQ03228_B22.1	0	3	1
GQ03232_E05.1	1	0	0
GQ03316_H02.1	0	1	0
GQ03407_O14.1	0	1	0
GQ03503_K05.1	1	0	1
GQ03606_O17.1	1	1	1
GQ03609_K21.1	0	1	1
GQ03701_K20.1	1	1	1
GQ03703_L07.1	1	0	0
GQ03710_P03.1	1	2	1
GQ03711_E08.1	1	1	3
GQ03712_G11.1	0	0	1
GQ03714_I19.1	0	1	1
GQ03804_I10.1	1	0	1
GQ03809_N18.1	2	1	0
GQ03810_F04.1	1	1	1
GQ03901_K02.1	0	2	0
GQ03905_E07.4	0	1	0
GQ04001_A17.2	1	1	1
GQ04002_K08.4	1	2	1
GQ04006_J24.1	0	0	1
GQ04108_C20.3	0	1	2
GQ04108_J07.1	0	1	1
k60_k40_6827073	1	1	0
k60_k42_497091	0	1	0
k60_k42_7029692	0	1	0
k60_k44_1436599_rc	1	0	1
k60_k44_6595268	1	0	2
k60_k46_4771566	1	1	0
k60_k46_6291406	0	1	0
k60_k46_6293916_rc	0	1	0
k60_k48_5923363	1	0	0
k60_k48_5926475_rc	1	1	2
k60_k52_5356095_rc	0	1	0
k60_k52_5358920	0	1	1
k60_k52_5367716	2	1	0
k60_k56_4848345_rc	0	1	1
k60_k56_4873202_rc	0	0	1
k60_k56_4874930	1	1	0
k60_k56_4876225	0	1	1
k60_k56_4878880_rc	1	1	1
k60_k58_2305153_rc	0	1	1
k60_k58_2305561	0	1	0
k60_k60_2182682	1	1	1
k60_k60_2185337_rc	1	0	0
k60_k62_2062541	1	1	1
k60_k62_2069433_rc	1	1	0
k60_k66_1849292_rc	1	2	1
k60_k72_1568522	1	1	1
k60_k72_1575907	1	1	1
PG01r131103s158351278--668-2272	1	2	2
PG01r131103s161485044--0-1392	2	1	3
PG01r131103s162246406--2352-978	1	1	1
PG01r131103s162263617--1-2157	1	2	1
PG01r131103s162313884--4029-1023	1	1	1
PG01r131103s163531372--1311-99	2	1	1
PG01r131103s163556712--2528-956	2	3	1
PG01r131103s164825514--3440-1988	3	2	1
PG01r131103s165308838--300-1677	1	2	1
PG01r131103s165965573--2-1350	2	3	1
PG01r131103s166066774--1834-236	2	1	1
PG01r131103s166265637--661-2041	2	1	1
PG01r131103s166452545--2465-5748	1	1	1
PG01r131103s166549859--364-3672	1	1	1
PG01r131103s166555966--1464-3	2	1	3
PG01r131103s166747028--1896-171	1	1	2
