OG0012315	DB47_00014285-RA	ABT39_00035779-RB
OG0012317	DB47_00024318-RA	ABT39_00004127-RB
OG0012318	DB47_00008425-RE	ABT39_00029388-RB
OG0012319	DB47_00002449-RA	ABT39_00036744-RA
OG0012324	DB47_00011911-RA	ABT39_00036303-RB
OG0012327	DB47_00025947-RD	ABT39_00045957-RB
OG0012328	DB47_00056120-RA	ABT39_00073371-RA
OG0012329	DB47_00016238-RA	ABT39_00097844-RA
OG0012334	DB47_00040401-RB	ABT39_00087863-RA
OG0012338	DB47_00040106-RA	ABT39_00102344-RA
OG0012339	DB47_00013324-RA	ABT39_00062156-RA
OG0012340	DB47_00003367-RA	ABT39_00074806-RA
OG0012342	DB47_00027895-RA	ABT39_00051498-RB
OG0012343	DB47_00018110-RA	ABT39_00026945-RB
OG0012347	DB47_00028751-RA	ABT39_00073770-RA
OG0012348	DB47_00026617-RA	ABT39_00022912-RA
OG0012349	DB47_00006771-RA	ABT39_00030847-RA
OG0012350	DB47_00022611-RB	ABT39_00071215-RA
OG0012351	DB47_00027560-RA	ABT39_00058575-RA
OG0012353	DB47_00012480-RA	ABT39_00014471-RC
OG0012356	DB47_00049071-RA	ABT39_00091034-RA
OG0012359	DB47_00014843-RA	ABT39_00003502-RA
OG0012360	DB47_00044405-RA	ABT39_00003660-RB
OG0012362	DB47_00018862-RA	ABT39_00006056-RA
OG0012365	DB47_00048981-RA	ABT39_00033662-RA
OG0012368	DB47_00016032-RA	ABT39_00073958-RA
OG0012370	DB47_00029529-RA	ABT39_00015310-RA
OG0012371	DB47_00016013-RB	ABT39_00005865-RB
OG0012373	DB47_00035209-RA	ABT39_00001344-RB
OG0012374	DB47_00021884-RB	ABT39_00001348-RB
OG0012375	DB47_00049825-RA	ABT39_00036995-RA
OG0012378	DB47_00011679-RC	ABT39_00016366-RA
OG0012380	DB47_00000289-RA	ABT39_00059318-RA
OG0012381	DB47_00001644-RA	ABT39_00062766-RA
OG0012385	DB47_00034449-RA	ABT39_00030886-RA
OG0012386	DB47_00074326-RA	ABT39_00046731-RA
OG0012387	DB47_00075299-RA	ABT39_00111343-RA
OG0012388	DB47_00041772-RA	ABT39_00020465-RB
OG0012390	DB47_00055703-RA	ABT39_00041961-RA
OG0012391	DB47_00001858-RA	ABT39_00053848-RA
OG0012393	DB47_00045712-RA	ABT39_00055285-RA
OG0012394	DB47_00044669-RA	ABT39_00064262-RA
OG0012395	DB47_00020454-RA	ABT39_00043419-RA
OG0012397	DB47_00002992-RH	ABT39_00026851-RA
OG0012399	DB47_00007845-RA	ABT39_00010602-RB
OG0012402	DB47_00058941-RA	ABT39_00075836-RB
OG0012403	DB47_00009853-RA	ABT39_00049555-RA
OG0012405	DB47_00048080-RA	ABT39_00057787-RA
OG0012408	DB47_00002689-RB	ABT39_00017884-RB
OG0012409	DB47_00022869-RA	ABT39_00038706-RA
OG0012411	DB47_00019895-RB	ABT39_00035370-RA
OG0012413	DB47_00056494-RA	ABT39_00048842-RA
OG0012414	DB47_00022772-RA	ABT39_00007302-RB
OG0012415	DB47_00021494-RA	ABT39_00032187-RE
OG0012416	DB47_00034340-RB	ABT39_00113863-RA
OG0012418	DB47_00045525-RA	ABT39_00091215-RA
OG0012420	DB47_00013652-RE	ABT39_00015878-RC
OG0012421	DB47_00046660-RA	ABT39_00021971-RA
OG0012422	DB47_00060598-RA	ABT39_00043388-RA
OG0012423	DB47_00023075-RA	ABT39_00046985-RA
OG0012425	DB47_00007255-RE	ABT39_00072637-RB
OG0012426	DB47_00006412-RG	ABT39_00002524-RF
OG0012427	DB47_00010114-RA	ABT39_00013429-RA
OG0012429	DB47_00031425-RA	ABT39_00034064-RA
OG0012430	DB47_00048176-RA	ABT39_00035118-RA
OG0012433	DB47_00025489-RA	ABT39_00043626-RA
OG0012435	DB47_00036730-RA	ABT39_00002237-RB
OG0012436	DB47_00000114-RB	ABT39_00002706-RC
OG0012440	DB47_00062673-RA	ABT39_00012074-RA
OG0012443	DB47_00000770-RC	ABT39_00009293-RC
OG0012444	DB47_00035182-RA	ABT39_00017399-RA
OG0012446	DB47_00035319-RA	ABT39_00091023-RA
OG0012448	DB47_00010619-RA	ABT39_00008686-RG
OG0012449	DB47_00015655-RE	ABT39_00001043-RA
OG0012452	DB47_00027032-RA	ABT39_00011168-RB
OG0012453	DB47_00021639-RA	ABT39_00032758-RC
OG0012454	DB47_00036262-RA	ABT39_00041290-RA
OG0012456	DB47_00044192-RA	ABT39_00031428-RA
OG0012461	DB47_00050381-RB	ABT39_00112206-RA
OG0012462	DB47_00002036-RA	ABT39_00075122-RB
OG0012466	DB47_00008466-RA	ABT39_00050429-RB
OG0012468	DB47_00031430-RA	ABT39_00088474-RA
OG0012469	DB47_00055122-RA	ABT39_00082545-RA
OG0012470	DB47_00029297-RC	ABT39_00022540-RB
OG0012471	DB47_00059474-RA	ABT39_00093610-RA
OG0012472	DB47_00049222-RA	ABT39_00009324-RH
OG0012474	DB47_00003221-RA	ABT39_00055004-RA
OG0012475	DB47_00034457-RA	ABT39_00022128-RC
OG0012476	DB47_00064129-RA	ABT39_00098652-RA
OG0012479	DB47_00019676-RA	ABT39_00058318-RB
OG0012480	DB47_00007561-RB	ABT39_00028965-RC
OG0012482	DB47_00036385-RB	ABT39_00058518-RB
OG0012483	DB47_00000818-RA	ABT39_00001602-RA
OG0012488	DB47_00029312-RB	ABT39_00061171-RC
OG0012489	DB47_00018545-RA	ABT39_00068132-RB
OG0012494	DB47_00035699-RA	ABT39_00076729-RA
OG0012496	DB47_00039880-RA	ABT39_00013130-RA
OG0012499	DB47_00014515-RB	ABT39_00011235-RC
OG0012500	DB47_00022930-RA	ABT39_00012269-RA
OG0012502	DB47_00016605-RA	ABT39_00022650-RC
OG0012503	DB47_00061066-RA	ABT39_00099385-RA
OG0012506	DB47_00021030-RC	ABT39_00073275-RB
OG0012511	DB47_00006226-RA	ABT39_00109097-RA
OG0012514	DB47_00038356-RA	ABT39_00046245-RA
OG0012515	DB47_00037432-RA	ABT39_00030321-RB
OG0012517	DB47_00078933-RA	ABT39_00116988-RA
OG0012519	DB47_00042476-RA	ABT39_00082339-RA
OG0012521	DB47_00015768-RA	ABT39_00064754-RA
OG0012523	DB47_00045698-RA	ABT39_00047928-RA
OG0012526	DB47_00052398-RA	ABT39_00044459-RA
OG0012527	DB47_00028160-RA	ABT39_00021274-RB
OG0012528	DB47_00023940-RC	ABT39_00005742-RB
OG0012529	DB47_00009651-RD	ABT39_00059548-RA
OG0012530	DB47_00002932-RB	ABT39_00001702-RB
OG0012532	DB47_00021177-RA	ABT39_00010102-RA
OG0012533	DB47_00060338-RA	ABT39_00041036-RB
OG0012534	DB47_00040563-RA	ABT39_00065685-RA
OG0012535	DB47_00063400-RA	ABT39_00079091-RB
OG0012536	DB47_00055088-RA	ABT39_00061742-RA
OG0012538	DB47_00013758-RA	ABT39_00007033-RA
OG0012541	DB47_00011074-RA	ABT39_00036671-RA
OG0012544	DB47_00020707-RA	ABT39_00021973-RD
OG0012547	DB47_00059600-RA	ABT39_00107272-RA
OG0012553	DB47_00003024-RB	ABT39_00015441-RB
OG0012554	DB47_00034100-RC	ABT39_00093199-RA
OG0012557	DB47_00054080-RA	ABT39_00048443-RA
OG0012560	DB47_00048114-RA	ABT39_00083946-RA
OG0012561	DB47_00077147-RA	ABT39_00063475-RA
OG0012564	DB47_00021518-RE	ABT39_00034342-RE
OG0012567	DB47_00026854-RA	ABT39_00098097-RA
OG0012568	DB47_00007548-RA	ABT39_00062856-RA
OG0012569	DB47_00004581-RD	ABT39_00012457-RA
OG0012572	DB47_00005545-RA	ABT39_00010487-RA
OG0012573	DB47_00012495-RB	ABT39_00000024-RC
OG0012574	DB47_00007680-RA	ABT39_00035914-RA
OG0012575	DB47_00029213-RA	ABT39_00014571-RA
OG0012576	DB47_00061548-RA	ABT39_00010111-RA
OG0012578	DB47_00032229-RA	ABT39_00069636-RA
OG0012580	DB47_00017186-RA	ABT39_00025778-RA
OG0012583	DB47_00045039-RA	ABT39_00018782-RA
OG0012584	DB47_00033494-RA	ABT39_00077739-RA
OG0012585	DB47_00050523-RA	ABT39_00050201-RA
OG0012586	DB47_00063299-RA	ABT39_00094808-RA
OG0012587	DB47_00076689-RA	ABT39_00055143-RA
OG0012588	DB47_00029636-RA	ABT39_00059564-RA
OG0012589	DB47_00019734-RA	ABT39_00040422-RA
OG0012590	DB47_00033114-RB	ABT39_00081806-RA
OG0012591	DB47_00011399-RA	ABT39_00080972-RA
OG0012592	DB47_00017558-RA	ABT39_00026507-RA
OG0012593	DB47_00030093-RB	ABT39_00002990-RA
OG0012594	DB47_00019684-RB	ABT39_00054985-RB
OG0012595	DB47_00023552-RA	ABT39_00050151-RA
OG0012596	DB47_00056255-RA	ABT39_00006822-RF
OG0012598	DB47_00060465-RA	ABT39_00093402-RA
OG0012599	DB47_00035062-RA	ABT39_00091632-RA
OG0012600	DB47_00047218-RA	ABT39_00092940-RA
OG0012602	DB47_00061201-RA	ABT39_00099190-RA
OG0012605	DB47_00007905-RA	ABT39_00049243-RB
OG0012606	DB47_00030505-RA	ABT39_00080496-RB
OG0012607	DB47_00007364-RC	ABT39_00065727-RA
OG0012611	DB47_00031317-RA	ABT39_00089837-RA
OG0012613	DB47_00050801-RA	ABT39_00081488-RA
OG0012615	DB47_00031958-RA	ABT39_00015285-RA
OG0012616	DB47_00020041-RA	ABT39_00012648-RA
OG0012617	DB47_00020039-RA	ABT39_00012645-RA
OG0012623	DB47_00013875-RA	ABT39_00023787-RA
OG0012624	DB47_00062645-RA	ABT39_00083768-RA
OG0012625	DB47_00017709-RB	ABT39_00005627-RD
OG0012629	DB47_00017998-RA	ABT39_00062225-RB
OG0012630	DB47_00006903-RB	ABT39_00004907-RA
OG0012631	DB47_00006906-RA	ABT39_00004910-RA
OG0012632	DB47_00006905-RF	ABT39_00004909-RC
OG0012633	DB47_00022182-RA	ABT39_00027385-RA
OG0012635	DB47_00035537-RA	ABT39_00070312-RB
OG0012638	DB47_00045243-RA	ABT39_00109237-RA
OG0012640	DB47_00013738-RA	ABT39_00090658-RA
OG0012644	DB47_00023257-RB	ABT39_00062698-RB
OG0012645	DB47_00018724-RA	ABT39_00120546-RA
OG0012649	DB47_00012947-RA	ABT39_00030815-RA
OG0012651	DB47_00025225-RB	ABT39_00000242-RA
OG0012653	DB47_00012620-RA	ABT39_00006863-RA
OG0012654	DB47_00002625-RA	ABT39_00001146-RB
OG0012655	DB47_00017627-RB	ABT39_00038149-RA
OG0012656	DB47_00009227-RA	ABT39_00000763-RA
OG0012657	DB47_00046945-RA	ABT39_00000758-RB
OG0012659	DB47_00012771-RC	ABT39_00015330-RA
OG0012661	DB47_00027485-RA	ABT39_00022738-RA
OG0012663	DB47_00002999-RB	ABT39_00030808-RB
OG0012664	DB47_00012328-RB	ABT39_00030881-RA
OG0012667	DB47_00003916-RA	ABT39_00010030-RA
OG0012668	DB47_00053513-RA	ABT39_00003986-RB
OG0012669	DB47_00031594-RA	ABT39_00088542-RA
OG0012671	DB47_00032055-RD	ABT39_00045006-RB
OG0012672	DB47_00044500-RA	ABT39_00042861-RA
OG0012673	DB47_00031136-RA	ABT39_00006922-RE
OG0012675	DB47_00027913-RA	ABT39_00025744-RA
OG0012677	DB47_00010935-RC	ABT39_00028799-RA
OG0012678	DB47_00042581-RA	ABT39_00097789-RA
OG0012679	DB47_00011635-RA	ABT39_00079308-RA
OG0012680	DB47_00053939-RA	ABT39_00084454-RA
