bin coverage transcript strand gene cigar MD NM introns_len introns_num
cdhit-output-4_14.iteration.1 0.99 snap_masked-168577549-processed-gene-0.64-mRNA-1 16 3012159 228M319N279M MD:Z:232C40G33G169A29 NM:i:4 319 1
cdhit-output-4_10.iteration.1 0.99 snap_masked-168570698-processed-gene-0.29-mRNA-1 16 2915493 447M118N2139M MD:Z:22A1081G752G588C44T40G53 NM:i:6 118 1
cdhit-output-4_12.iteration.1 0.99 snap_masked-168565911-processed-gene-0.25-mRNA-1 16 3365119 923M319N1357M MD:Z:42C44A6C259G23T71T4T44G255G41C89G167C413A35T20G752 NM:i:15 319 1
cdhit-output-4_16.iteration.1 0.99 snap_masked-168562031-processed-gene-0.24-mRNA-1 0 3019353 41M190N418M116N33M MD:Z:492 NM:i:0 190,116 2
cdhit-output-4_15.iteration.1 0.99 snap_masked-168560043-processed-gene-0.41-mRNA-1 0 3575997 992M289N814M MD:Z:47T86T398C413C162T695 NM:i:5 289 1
cdhit-output-4_18.iteration.1 0.99 snap_masked-168556862-processed-gene-0.16-mRNA-1 0 3693375 2077M172N78M631N77M MD:Z:21T79T68T116A107C2A2C23G149C62T83T36GA164G447A56G385G122A36T41A11C51G8A37A50A51 NM:i:25 172,631 2
cdhit-output-4_16.iteration.1 0.99 snap_masked-168551638-processed-gene-2.60-mRNA-1 16 3092645 19M973N136M179N241M179N121M112N58M223N209M MD:Z:784 NM:i:0 973,179,179,112,223 5
cdhit-output-4_8.iteration.2 0.99 snap_masked-168548591-processed-gene-0.37-mRNA-1 16 4124724 418M96N99M271N44M MD:Z:245C153A15T79A65 NM:i:4 96,271 2
cdhit-output-4_17.iteration.1 0.99 snap_masked-168548311-processed-gene-0.112-mRNA-1 16 3051492 252M96N135M MD:Z:387 NM:i:0 96 1
cdhit-output-4_13.iteration.1 0.99 snap_masked-168546995-processed-gene-0.28-mRNA-1 16 3958188 3087M197N630M MD:Z:816T371T98A409A1078G128G555T60G59A134 NM:i:9 197 1
