OG0012315	E0M31_00014648-RC	DB47_00014285-RA
OG0012317	E0M31_00074535-RA	DB47_00024318-RA
OG0012318	E0M31_00006770-RA	DB47_00008425-RE
OG0012324	E0M31_00014407-RA	DB47_00011911-RA
OG0012327	E0M31_00002532-RA	DB47_00025947-RD
OG0012328	E0M31_00032083-RA	DB47_00056120-RA
OG0012329	E0M31_00067899-RA	DB47_00016238-RA
OG0012338	E0M31_00066504-RB	DB47_00040106-RA
OG0012343	E0M31_00012202-RA	DB47_00018110-RA
OG0012347	E0M31_00035410-RA	DB47_00028751-RA
OG0012348	E0M31_00047515-RA	DB47_00026617-RA
OG0012349	E0M31_00067491-RA	DB47_00006771-RA
OG0012350	E0M31_00037362-RA	DB47_00022611-RB
OG0012351	E0M31_00030015-RA	DB47_00027560-RA
OG0012353	E0M31_00035631-RB	DB47_00012480-RA
OG0012356	E0M31_00027544-RA	DB47_00049071-RA
OG0012359	E0M31_00036583-RA	DB47_00014843-RA
OG0012360	E0M31_00021610-RA	DB47_00044405-RA
OG0012365	E0M31_00046027-RA	DB47_00048981-RA
OG0012370	E0M31_00018011-RA	DB47_00029529-RA
OG0012371	E0M31_00040666-RB	DB47_00016013-RB
OG0012373	E0M31_00054744-RA	DB47_00035209-RA
OG0012374	E0M31_00014178-RC	DB47_00021884-RB
OG0012378	E0M31_00024633-RF	DB47_00011679-RC
OG0012380	E0M31_00021185-RA	DB47_00000289-RA
OG0012381	E0M31_00065608-RA	DB47_00001644-RA
OG0012385	E0M31_00008645-RA	DB47_00034449-RA
OG0012386	E0M31_00078985-RA	DB47_00074326-RA
OG0012387	E0M31_00058552-RA	DB47_00075299-RA
OG0012388	E0M31_00043282-RA	DB47_00041772-RA
OG0012390	E0M31_00048034-RB	DB47_00055703-RA
OG0012391	E0M31_00005705-RA	DB47_00001858-RA
OG0012393	E0M31_00016836-RA	DB47_00045712-RA
OG0012395	E0M31_00063301-RB	DB47_00020454-RA
OG0012397	E0M31_00001471-RI	DB47_00002992-RH
OG0012399	E0M31_00009471-RA	DB47_00007845-RA
OG0012402	E0M31_00056391-RA	DB47_00058941-RA
OG0012403	E0M31_00005527-RA	DB47_00009853-RA
OG0012405	E0M31_00042408-RA	DB47_00048080-RA
OG0012408	E0M31_00014713-RB	DB47_00002689-RB
OG0012409	E0M31_00031814-RA	DB47_00022869-RA
OG0012413	E0M31_00062972-RA	DB47_00056494-RA
OG0012414	E0M31_00004047-RF	DB47_00022772-RA
OG0012415	E0M31_00028318-RA	DB47_00021494-RA
OG0012416	E0M31_00065319-RA	DB47_00034340-RB
OG0012420	E0M31_00023257-RC	DB47_00013652-RE
OG0012421	E0M31_00028161-RA	DB47_00046660-RA
OG0012422	E0M31_00003790-RA	DB47_00060598-RA
OG0012423	E0M31_00021645-RA	DB47_00023075-RA
OG0012425	E0M31_00003989-RC	DB47_00007255-RE
OG0012426	E0M31_00001641-RC	DB47_00006412-RG
OG0012429	E0M31_00039066-RA	DB47_00031425-RA
OG0012430	E0M31_00005119-RC	DB47_00048176-RA
OG0012433	E0M31_00020990-RA	DB47_00025489-RA
OG0012435	E0M31_00070287-RA	DB47_00036730-RA
OG0012436	E0M31_00011226-RB	DB47_00000114-RB
OG0012440	E0M31_00072039-RA	DB47_00062673-RA
OG0012443	E0M31_00042007-RA	DB47_00000770-RC
OG0012444	E0M31_00028342-RA	DB47_00035182-RA
OG0012446	E0M31_00023137-RA	DB47_00035319-RA
OG0012448	E0M31_00013145-RB	DB47_00010619-RA
OG0012449	E0M31_00027316-RA	DB47_00015655-RE
OG0012452	E0M31_00005359-RG	DB47_00027032-RA
OG0012453	E0M31_00023992-RA	DB47_00021639-RA
OG0012456	E0M31_00070563-RA	DB47_00044192-RA
OG0012461	E0M31_00064749-RA	DB47_00050381-RB
OG0012466	E0M31_00017223-RA	DB47_00008466-RA
OG0012468	E0M31_00066899-RA	DB47_00031430-RA
OG0012469	E0M31_00044318-RA	DB47_00055122-RA
OG0012470	E0M31_00023541-RB	DB47_00029297-RC
OG0012474	E0M31_00010703-RB	DB47_00003221-RA
OG0012475	E0M31_00039956-RA	DB47_00034457-RA
OG0012476	E0M31_00071789-RA	DB47_00064129-RA
OG0012479	E0M31_00040354-RB	DB47_00019676-RA
OG0012480	E0M31_00014853-RC	DB47_00007561-RB
OG0012488	E0M31_00047659-RC	DB47_00029312-RB
OG0012489	E0M31_00072412-RA	DB47_00018545-RA
OG0012494	E0M31_00083569-RA	DB47_00035699-RA
OG0012496	E0M31_00011171-RA	DB47_00039880-RA
OG0012499	E0M31_00003566-RB	DB47_00014515-RB
OG0012502	E0M31_00000912-RC	DB47_00016605-RA
OG0012503	E0M31_00063549-RA	DB47_00061066-RA
OG0012506	E0M31_00011932-RA	DB47_00021030-RC
OG0012511	E0M31_00045344-RA	DB47_00006226-RA
OG0012514	E0M31_00013998-RA	DB47_00038356-RA
OG0012515	E0M31_00012487-RB	DB47_00037432-RA
OG0012521	E0M31_00072320-RA	DB47_00015768-RA
OG0012523	E0M31_00032524-RB	DB47_00045698-RA
OG0012526	E0M31_00001478-RA	DB47_00052398-RA
OG0012527	E0M31_00008452-RA	DB47_00028160-RA
OG0012528	E0M31_00043645-RB	DB47_00023940-RC
OG0012529	E0M31_00031502-RB	DB47_00009651-RD
OG0012530	E0M31_00035894-RA	DB47_00002932-RB
OG0012532	E0M31_00064824-RA	DB47_00021177-RA
OG0012533	E0M31_00025578-RA	DB47_00060338-RA
OG0012534	E0M31_00001101-RH	DB47_00040563-RA
OG0012535	E0M31_00064421-RA	DB47_00063400-RA
OG0012538	E0M31_00084845-RA	DB47_00013758-RA
OG0012541	E0M31_00002398-RA	DB47_00011074-RA
OG0012544	E0M31_00027555-RA	DB47_00020707-RA
OG0012547	E0M31_00081590-RA	DB47_00059600-RA
OG0012553	E0M31_00074094-RA	DB47_00003024-RB
OG0012554	E0M31_00067326-RA	DB47_00034100-RC
OG0012557	E0M31_00075464-RA	DB47_00054080-RA
OG0012560	E0M31_00051432-RA	DB47_00048114-RA
OG0012561	E0M31_00079760-RA	DB47_00077147-RA
OG0012564	E0M31_00017612-RE	DB47_00021518-RE
OG0012569	E0M31_00002350-RD	DB47_00004581-RD
OG0012572	E0M31_00081490-RA	DB47_00005545-RA
OG0012574	E0M31_00002751-RB	DB47_00007680-RA
OG0012576	E0M31_00002032-RA	DB47_00061548-RA
OG0012580	E0M31_00041098-RA	DB47_00017186-RA
OG0012583	E0M31_00080935-RA	DB47_00045039-RA
OG0012585	E0M31_00030685-RA	DB47_00050523-RA
OG0012587	E0M31_00049556-RA	DB47_00076689-RA
OG0012588	E0M31_00000603-RA	DB47_00029636-RA
OG0012589	E0M31_00008672-RA	DB47_00019734-RA
OG0012591	E0M31_00055650-RB	DB47_00011399-RA
OG0012592	E0M31_00040464-RA	DB47_00017558-RA
OG0012593	E0M31_00005959-RA	DB47_00030093-RB
OG0012594	E0M31_00074540-RA	DB47_00019684-RB
OG0012595	E0M31_00034987-RA	DB47_00023552-RA
OG0012596	E0M31_00013753-RA	DB47_00056255-RA
OG0012598	E0M31_00006957-RA	DB47_00060465-RA
OG0012599	E0M31_00064548-RA	DB47_00035062-RA
OG0012600	E0M31_00012782-RA	DB47_00047218-RA
OG0012606	E0M31_00042118-RC	DB47_00030505-RA
OG0012607	E0M31_00005421-RB	DB47_00007364-RC
OG0012611	E0M31_00032042-RB	DB47_00031317-RA
OG0012615	E0M31_00003871-RA	DB47_00031958-RA
OG0012616	E0M31_00014931-RA	DB47_00020041-RA
OG0012617	E0M31_00014929-RD	DB47_00020039-RA
OG0012623	E0M31_00004269-RA	DB47_00013875-RA
OG0012624	E0M31_00002449-RA	DB47_00062645-RA
OG0012625	E0M31_00002898-RC	DB47_00017709-RB
OG0012629	E0M31_00015077-RB	DB47_00017998-RA
OG0012630	E0M31_00001107-RD	DB47_00006903-RB
OG0012631	E0M31_00001104-RA	DB47_00006906-RA
OG0012632	E0M31_00001105-RC	DB47_00006905-RF
OG0012635	E0M31_00009151-RA	DB47_00035537-RA
OG0012640	E0M31_00064212-RA	DB47_00013738-RA
OG0012644	E0M31_00056230-RA	DB47_00023257-RB
OG0012645	E0M31_00001696-RD	DB47_00018724-RA
OG0012649	E0M31_00019563-RA	DB47_00012947-RA
OG0012651	E0M31_00023593-RA	DB47_00025225-RB
OG0012653	E0M31_00043228-RA	DB47_00012620-RA
OG0012654	E0M31_00006936-RA	DB47_00002625-RA
OG0012655	E0M31_00021751-RA	DB47_00017627-RB
OG0012657	E0M31_00017479-RA	DB47_00046945-RA
OG0012659	E0M31_00006633-RB	DB47_00012771-RC
OG0012663	E0M31_00004122-RA	DB47_00002999-RB
OG0012668	E0M31_00056860-RA	DB47_00053513-RA
OG0012669	E0M31_00063482-RA	DB47_00031594-RA
OG0012671	E0M31_00026014-RC	DB47_00032055-RD
OG0012672	E0M31_00064564-RA	DB47_00044500-RA
OG0012673	E0M31_00014313-RA	DB47_00031136-RA
OG0012675	E0M31_00010818-RB	DB47_00027913-RA
OG0012677	E0M31_00006558-RD	DB47_00010935-RC
OG0012678	E0M31_00028606-RA	DB47_00042581-RA
OG0012680	E0M31_00041665-RA	DB47_00053939-RA
OG0012681	E0M31_00074172-RA	DB47_00061523-RA
OG0012684	E0M31_00024331-RD	DB47_00018427-RB
OG0012685	E0M31_00019983-RB	DB47_00011275-RB
OG0012686	E0M31_00014471-RA	DB47_00020401-RB
OG0012690	E0M31_00010667-RD	DB47_00019537-RE
OG0012693	E0M31_00047809-RB	DB47_00048867-RA
OG0012695	E0M31_00044533-RC	DB47_00053640-RA
OG0012697	E0M31_00055819-RA	DB47_00021388-RA
OG0012698	E0M31_00020109-RA	DB47_00060137-RA
OG0012701	E0M31_00011386-RD	DB47_00022792-RB
OG0012704	E0M31_00017815-RB	DB47_00071850-RA
OG0012707	E0M31_00006821-RA	DB47_00045340-RA
OG0012708	E0M31_00091825-RA	DB47_00015364-RA
OG0012710	E0M31_00032562-RA	DB47_00031362-RA
OG0012712	E0M31_00070748-RA	DB47_00045937-RB
OG0012714	E0M31_00018504-RB	DB47_00006747-RA
OG0012716	E0M31_00071674-RA	DB47_00007414-RA
OG0012717	E0M31_00062063-RB	DB47_00051729-RA
OG0012719	E0M31_00003372-RA	DB47_00006454-RB
OG0012720	E0M31_00085264-RA	DB47_00066893-RA
OG0012723	E0M31_00080410-RA	DB47_00067438-RA
