OG0012312	ABT39_00020472-RA	E0M31_00068937-RA
OG0012315	ABT39_00035779-RB	E0M31_00014648-RC
OG0012317	ABT39_00004127-RB	E0M31_00074535-RA
OG0012318	ABT39_00029388-RB	E0M31_00006770-RA
OG0012323	ABT39_00006019-RB	E0M31_00051737-RA
OG0012324	ABT39_00036303-RB	E0M31_00014407-RA
OG0012325	ABT39_00049010-RA	E0M31_00033212-RA
OG0012326	ABT39_00019772-RA	E0M31_00064565-RA
OG0012327	ABT39_00045957-RB	E0M31_00002532-RA
OG0012328	ABT39_00073371-RA	E0M31_00032083-RA
OG0012329	ABT39_00097844-RA	E0M31_00067899-RA
OG0012330	ABT39_00065661-RA	E0M31_00006443-RA
OG0012331	ABT39_00044500-RA	E0M31_00044687-RA
OG0012332	ABT39_00087024-RB	E0M31_00020658-RA
OG0012335	ABT39_00063658-RA	E0M31_00031406-RA
OG0012338	ABT39_00102344-RA	E0M31_00066504-RB
OG0012341	ABT39_00101503-RA	E0M31_00078435-RA
OG0012343	ABT39_00026945-RB	E0M31_00012202-RA
OG0012346	ABT39_00038979-RA	E0M31_00062090-RA
OG0012347	ABT39_00073770-RA	E0M31_00035410-RA
OG0012348	ABT39_00022912-RA	E0M31_00047515-RA
OG0012349	ABT39_00030847-RA	E0M31_00067491-RA
OG0012350	ABT39_00071215-RA	E0M31_00037362-RA
OG0012351	ABT39_00058575-RA	E0M31_00030015-RA
OG0012352	ABT39_00096325-RA	E0M31_00045462-RB
OG0012353	ABT39_00014471-RC	E0M31_00035631-RB
OG0012354	ABT39_00094560-RA	E0M31_00007968-RA
OG0012355	ABT39_00098788-RA	E0M31_00036948-RA
OG0012356	ABT39_00091034-RA	E0M31_00027544-RA
OG0012359	ABT39_00003502-RA	E0M31_00036583-RA
OG0012360	ABT39_00003660-RB	E0M31_00021610-RA
OG0012361	ABT39_00048013-RA	E0M31_00051647-RA
OG0012363	ABT39_00085654-RA	E0M31_00065733-RA
OG0012365	ABT39_00033662-RA	E0M31_00046027-RA
OG0012370	ABT39_00015310-RA	E0M31_00018011-RA
OG0012371	ABT39_00005865-RB	E0M31_00040666-RB
OG0012372	ABT39_00001084-RA	E0M31_00048091-RA
OG0012373	ABT39_00001344-RB	E0M31_00054744-RA
OG0012374	ABT39_00001348-RB	E0M31_00014178-RC
OG0012378	ABT39_00016366-RA	E0M31_00024633-RF
OG0012380	ABT39_00059318-RA	E0M31_00021185-RA
OG0012381	ABT39_00062766-RA	E0M31_00065608-RA
OG0012385	ABT39_00030886-RA	E0M31_00008645-RA
OG0012386	ABT39_00046731-RA	E0M31_00078985-RA
OG0012387	ABT39_00111343-RA	E0M31_00058552-RA
OG0012388	ABT39_00020465-RB	E0M31_00043282-RA
OG0012389	ABT39_00099901-RA	E0M31_00057707-RA
OG0012390	ABT39_00041961-RA	E0M31_00048034-RB
OG0012391	ABT39_00053848-RA	E0M31_00005705-RA
OG0012393	ABT39_00055285-RA	E0M31_00016836-RA
OG0012395	ABT39_00043419-RA	E0M31_00063301-RB
OG0012397	ABT39_00026851-RA	E0M31_00001471-RI
OG0012398	ABT39_00025823-RA	E0M31_00037774-RA
OG0012399	ABT39_00010602-RB	E0M31_00009471-RA
OG0012401	ABT39_00058974-RA	E0M31_00014770-RA
OG0012402	ABT39_00075836-RB	E0M31_00056391-RA
OG0012403	ABT39_00049555-RA	E0M31_00005527-RA
OG0012404	ABT39_00029005-RB	E0M31_00028230-RB
OG0012405	ABT39_00057787-RA	E0M31_00042408-RA
OG0012408	ABT39_00017884-RB	E0M31_00014713-RB
OG0012409	ABT39_00038706-RA	E0M31_00031814-RA
OG0012410	ABT39_00019649-RA	E0M31_00052623-RA
OG0012412	ABT39_00007460-RB	E0M31_00017961-RF
OG0012413	ABT39_00048842-RA	E0M31_00062972-RA
OG0012414	ABT39_00007302-RB	E0M31_00004047-RF
OG0012415	ABT39_00032187-RE	E0M31_00028318-RA
OG0012416	ABT39_00113863-RA	E0M31_00065319-RA
OG0012419	ABT39_00024491-RA	E0M31_00077801-RA
OG0012420	ABT39_00015878-RC	E0M31_00023257-RC
OG0012421	ABT39_00021971-RA	E0M31_00028161-RA
OG0012422	ABT39_00043388-RA	E0M31_00003790-RA
OG0012423	ABT39_00046985-RA	E0M31_00021645-RA
OG0012425	ABT39_00072637-RB	E0M31_00003989-RC
OG0012426	ABT39_00002524-RF	E0M31_00001641-RC
OG0012429	ABT39_00034064-RA	E0M31_00039066-RA
OG0012430	ABT39_00035118-RA	E0M31_00005119-RC
OG0012431	ABT39_00077207-RA	E0M31_00055949-RB
OG0012432	ABT39_00106124-RA	E0M31_00044494-RA
OG0012433	ABT39_00043626-RA	E0M31_00020990-RA
OG0012434	ABT39_00038434-RA	E0M31_00060117-RA
OG0012435	ABT39_00002237-RB	E0M31_00070287-RA
OG0012436	ABT39_00002706-RC	E0M31_00011226-RB
OG0012440	ABT39_00012074-RA	E0M31_00072039-RA
OG0012441	ABT39_00018490-RA	E0M31_00007276-RA
OG0012443	ABT39_00009293-RC	E0M31_00042007-RA
OG0012444	ABT39_00017399-RA	E0M31_00028342-RA
OG0012446	ABT39_00091023-RA	E0M31_00023137-RA
OG0012448	ABT39_00008686-RG	E0M31_00013145-RB
OG0012449	ABT39_00001043-RA	E0M31_00027316-RA
OG0012452	ABT39_00011168-RB	E0M31_00005359-RG
OG0012453	ABT39_00032758-RC	E0M31_00023992-RA
OG0012455	ABT39_00072789-RA	E0M31_00059974-RA
OG0012456	ABT39_00031428-RA	E0M31_00070563-RA
OG0012458	ABT39_00101867-RA	E0M31_00057737-RB
OG0012461	ABT39_00112206-RA	E0M31_00064749-RA
OG0012466	ABT39_00050429-RB	E0M31_00017223-RA
OG0012468	ABT39_00088474-RA	E0M31_00066899-RA
OG0012469	ABT39_00082545-RA	E0M31_00044318-RA
OG0012470	ABT39_00022540-RB	E0M31_00023541-RB
OG0012474	ABT39_00055004-RA	E0M31_00010703-RB
OG0012475	ABT39_00022128-RC	E0M31_00039956-RA
OG0012476	ABT39_00098652-RA	E0M31_00071789-RA
OG0012477	ABT39_00074804-RB	E0M31_00049640-RA
OG0012479	ABT39_00058318-RB	E0M31_00040354-RB
OG0012480	ABT39_00028965-RC	E0M31_00014853-RC
OG0012481	ABT39_00054898-RB	E0M31_00036176-RC
OG0012486	ABT39_00101025-RA	E0M31_00020718-RA
OG0012488	ABT39_00061171-RC	E0M31_00047659-RC
OG0012489	ABT39_00068132-RB	E0M31_00072412-RA
OG0012490	ABT39_00113777-RA	E0M31_00039248-RA
OG0012494	ABT39_00076729-RA	E0M31_00083569-RA
OG0012496	ABT39_00013130-RA	E0M31_00011171-RA
OG0012499	ABT39_00011235-RC	E0M31_00003566-RB
OG0012502	ABT39_00022650-RC	E0M31_00000912-RC
OG0012503	ABT39_00099385-RA	E0M31_00063549-RA
OG0012504	ABT39_00063022-RA	E0M31_00036733-RA
OG0012506	ABT39_00073275-RB	E0M31_00011932-RA
OG0012511	ABT39_00109097-RA	E0M31_00045344-RA
OG0012514	ABT39_00046245-RA	E0M31_00013998-RA
OG0012515	ABT39_00030321-RB	E0M31_00012487-RB
OG0012521	ABT39_00064754-RA	E0M31_00072320-RA
OG0012523	ABT39_00047928-RA	E0M31_00032524-RB
OG0012525	ABT39_00021430-RA	E0M31_00014192-RA
OG0012526	ABT39_00044459-RA	E0M31_00001478-RA
OG0012527	ABT39_00021274-RB	E0M31_00008452-RA
OG0012528	ABT39_00005742-RB	E0M31_00043645-RB
OG0012529	ABT39_00059548-RA	E0M31_00031502-RB
OG0012530	ABT39_00001702-RB	E0M31_00035894-RA
OG0012532	ABT39_00010102-RA	E0M31_00064824-RA
OG0012533	ABT39_00041036-RB	E0M31_00025578-RA
OG0012534	ABT39_00065685-RA	E0M31_00001101-RH
OG0012535	ABT39_00079091-RB	E0M31_00064421-RA
OG0012538	ABT39_00007033-RA	E0M31_00084845-RA
OG0012541	ABT39_00036671-RA	E0M31_00002398-RA
OG0012542	ABT39_00118488-RA	E0M31_00087942-RA
OG0012543	ABT39_00086621-RB	E0M31_00071869-RA
OG0012544	ABT39_00021973-RD	E0M31_00027555-RA
OG0012545	ABT39_00094781-RA	E0M31_00041689-RA
OG0012546	ABT39_00065016-RA	E0M31_00017842-RA
