transcript bin.PG29 coverage.PG29 strand.PG29 gene.PG29 cigar.PG29 MD.PG29 NM.PG29 introns_len.PG29 introns_num.PG29 bin.WS coverage.WS strand.WS gene.WS cigar.WS MD.WS NM.WS introns_len.WS introns_num.WS swap.introns_len.PG29 swap.introns_len.WS
augustus_masked-158905182-processed-gene-0.0-mRNA-1 myseq9000.fa.r112 0.99 16 9300096 51M79N924M MD:Z:11G238G37A38G4A502T139 NM:i:6 79 1 cdhit-output-4_15.iteration.1 0.99 0 3575955 924M79N51M MD:Z:139A507C56C1G17C14G102G87A32C11 NM:i:9 79 1 79 79
augustus_masked-158925609-processed-gene-0.0-mRNA-1 myseq3000.fa.r112 0.99 0 9137990 538M174N60M527N2206M262N332M MD:Z:172T30T507G29T411C125T1040T29A126C199C75C382 NM:i:11 174,527,262 3 cdhit-output-4_12.iteration.1 0.99 16 3364993 332M262N2206M527N60M174N538M MD:Z:382G75G199G126T29A1040A125G411A29C507A30A172 NM:i:11 262,527,174 3 174,527,262 174,527,262
augustus_masked-159454866-processed-gene-0.0-mRNA-1 myseq0.fa.r112 0.99 16 7166014 891M1638N383M221N286M MD:Z:972TG406A179 NM:i:3 1638,221 2 cdhit-output-4_8.iteration.1 0.99 0 4559825 286M221N383M1638N891M MD:Z:179T406CA972 NM:i:3 221,1638 2 221,1638 221,1638
augustus_masked-159676842-processed-gene-0.0-mRNA-1 myseq0.fa.r112 0.99 16 7128585 1031M122N248M152N224M MD:Z:37T444T638G381 NM:i:3 122,152 2 cdhit-output-4_8.iteration.4 0.99 16 2720525 1031M122N248M152N224M MD:Z:37T444T638G381 NM:i:3 122,152 2 152,122 152,122
augustus_masked-160571963-processed-gene-0.0-mRNA-1 myseq3000.fa.r112 0.99 16 9302930 1069M199N618M MD:Z:242A240C5G174C140G3GC10G519G63C54T30C195 NM:i:12 199 1 cdhit-output-4_10.iteration.1 0.99 0 2915508 438M382N1249M MD:Z:1022G170T3C5G240T84C157 NM:i:6 382 1 199 382
augustus_masked-161637480-processed-gene-0.0-mRNA-1 myseq3000.fa.r112 0.99 16 9272726 156M371N375M112N123M MD:Z:654 NM:i:0 371,112 2 cdhit-output-4_11.iteration.1 0.99 0 3214119 123M112N375M371N156M MD:Z:654 NM:i:0 112,371 2 112,371 112,371
augustus_masked-161707925-processed-gene-0.0-mRNA-1 myseq12000.fa.r112 0.99 16 7728038 100M81N750M564N380M MD:Z:56A174T927C32A37 NM:i:4 81,564 2 cdhit-output-4_18.iteration.1 0.99 16 3751817 100M81N752M248N378M MD:Z:56A174T927C32A37 NM:i:4 81,248 2 564,81 248,81
augustus_masked-161960809-processed-gene-0.0-mRNA-1 myseq9000.fa.r112 0.99 16 9302126 101M42N2053M MD:Z:94A475A367G24C83T142C133G144G109G46T466A60 NM:i:11 42 1 cdhit-output-4_11.iteration.2 0.99 16 3093157 101M42N1573M304N480M MD:Z:94A523T571C133G144G109G57T255G16A123G41A77 NM:i:11 42,304 2 42 304,42
augustus_masked-162604905-processed-gene-0.0-mRNA-1 myseq12000.fa.r112 0.99 16 7597249 880M91N32M MD:Z:174T257T11A108C145A212 NM:i:5 91 1 cdhit-output-4_18.iteration.1 0.99 16 3665753 880M91N32M MD:Z:174T257T11A108C145A212 NM:i:5 91 1 91 91
augustus_masked-163345425-processed-gene-0.0-mRNA-1 myseq12000.fa.r112 0.99 16 7665494 156M769N350M50N271M MD:Z:367T145G176C35C50 NM:i:4 769,50 2 cdhit-output-4_19.iteration.1 0.99 0 831770 271M50N350M769N156M MD:Z:409A125T241 NM:i:2 50,769 2 50,769 50,769
augustus_masked-163517678-processed-gene-0.1-mRNA-1 myseq6000.fa.r112 0.99 0 6851576 895M1913N1073M MD:Z:24C83C30G45A57T9GA337C291G297T421T133T229 NM:i:12 1913 1 cdhit-output-4_12.iteration.1 0.99 16 3365280 1073M3279N895M MD:Z:229A133A421A290C6C291G337TC9A57T45C30G83G24 NM:i:13 3279 1 1913 3279
augustus_masked-163666880-processed-gene-0.1-mRNA-1 myseq6000.fa.r112 0.99 16 6851409 603M228N639M MD:Z:18C132C70A89C929 NM:i:4 228 1 cdhit-output-4_12.iteration.3 0.99 16 3462992 55M129N1187M MD:Z:29G121C70A89C183C100C350A293 NM:i:7 129 1 228 129
augustus_masked-163948251-processed-gene-0.0-mRNA-1 myseq12000.fa.r112 0.99 16 7669574 348M105N71M135N232M MD:Z:38C62A2C16T59C243A15G88T47A72 NM:i:9 105,135 2 cdhit-output-4_13.iteration.1 0.99 0 3957600 232M135N71M105N348M MD:Z:72T47A88C15T243G59A16G2T61GG38 NM:i:10 135,105 2 135,105 135,105
augustus_masked-164039539-processed-gene-0.0-mRNA-1 myseq9000.fa.r112 0.99 0 9159680 54M177N165M85N214M138N185M81N93M134N442M278N90M MD:Z:1097C48C96 NM:i:2 177,85,138,81,134,278 6 cdhit-output-4_9.iteration.1 0.99 0 3260795 54M177N165M85N214M138N185M81N93M134N442M278N90M MD:Z:1243 NM:i:0 177,85,138,81,134,278 6 177,85,138,81,134,278 177,85,138,81,134,278
augustus_masked-164230340-processed-gene-0.0-mRNA-1 myseq12000.fa.r112 0.99 0 7668364 365M103N585M MD:Z:950 NM:i:0 103 1 cdhit-output-4_17.iteration.1 0.99 16 2983364 585M103N365M MD:Z:950 NM:i:0 103 1 103 103
augustus_masked-165083520-processed-gene-0.1-mRNA-1 myseq9000.fa.r112 0.99 0 9304062 28M67N75M135N1136M MD:Z:950C260T27 NM:i:2 67,135 2 cdhit-output-4_16.iteration.1 0.99 0 3092981 28M67N75M135N1136M MD:Z:950C260T27 NM:i:2 67,135 2 67,135 67,135
augustus_masked-165136145-processed-gene-0.0-mRNA-1 myseq12000.fa.r112 0.99 0 7598853 181M75N10M132N161M130N92M450N243M MD:Z:254A432 NM:i:1 75,132,130,450 4 cdhit-output-4_18.iteration.1 0.99 16 3751622 243M450N92M130N161M132N10M75N181M MD:Z:432T254 NM:i:1 450,130,132,75 4 75,132,130,450 75,132,130,450
augustus_masked-165423691-processed-gene-0.0-mRNA-1 myseq12000.fa.r112 0.99 16 7741876 294M210N72M MD:Z:132A178T54 NM:i:2 210 1 cdhit-output-4_18.iteration.2 0.99 0 4285843 72M210N294M MD:Z:54A178T132 NM:i:2 210 1 210 210
augustus_masked-165521715-processed-gene-0.0-mRNA-1 myseq9000.fa.r112 0.99 16 9227930 684M342N323M158N145M MD:Z:944G207 NM:i:1 342,158 2 cdhit-output-4_11.iteration.1 0.99 0 3288160 145M158N323M342N684M MD:Z:207C944 NM:i:1 158,342 2 158,342 158,342
augustus_masked-165549066-processed-gene-0.0-mRNA-1 myseq9000.fa.r112 0.99 16 9213323 77M132N676M387N270M MD:Z:496C76C68A122G257 NM:i:4 132,387 2 cdhit-output-4_15.iteration.1 0.99 0 3575655 270M387N676M132N77M MD:Z:257C122T68G76G496 NM:i:4 387,132 2 387,132 387,132
augustus_masked-166125841-processed-gene-0.0-mRNA-1 myseq12000.fa.r112 0.99 0 7741663 160M132N293M991N633M MD:Z:68T374T50C23C110A99T262G93 NM:i:7 132,991 2 cdhit-output-4_13.iteration.1 0.99 16 3958336 633M991N293M132N160M MD:Z:93C262A99T110G74A374A68 NM:i:6 991,132 2 132,991 132,991
augustus_masked-166133206-processed-gene-0.0-mRNA-1 myseq3000.fa.r112 0.99 0 9302952 1699M428N1130M MD:Z:173G168A7G132T46G128A73A98C10A49G10G1A36A162G92A40T26G75G249A147C80C528TG66C39T66G302 NM:i:26 428 1 cdhit-output-4_12.iteration.1 0.99 16 3365159 1514M281N1315M MD:Z:302C66A39G64A1CA609G147T249C75C26A133C23T138T36T1C10C49T10G98T73T128C46A132C7T168C173 NM:i:26 281 1 428 281
augustus_masked-166226383-processed-gene-0.1-mRNA-1 myseq3000.fa.r112 0.99 16 9259616 63M116N1770M153N324M238N180M MD:Z:225G459C205G50A689T86T617 NM:i:6 116,153,238 3 cdhit-output-4_9.iteration.1 0.99 16 3260300 63M116N1770M153N324M238N180M MD:Z:225G459C205G50A104A191A392T86T485T131 NM:i:9 116,153,238 3 238,153,116 238,153,116
augustus_masked-166253586-processed-gene-0.2-mRNA-1 myseq15000.fa.r112 0.99 16 11203733 116M85N125M707N155M103N138M105N219M89N89M1764N759M3320N441M MD:Z:16T32C30C33C92A7CT826A186A698T112 NM:i:10 85,707,103,105,89,1764,3320 7 cdhit-output-4_19.iteration.1 0.99 16 816309 116M84N125M696N155M103N138M105N219M89N89M1764N759M3456N441M MD:Z:16T32C30C33C100TT826A186A698T112 NM:i:9 84,696,103,105,89,1764,3456 7 3320,1764,89,105,103,707,85 3456,1764,89,105,103,696,84
