OG0012315	DB47_00014285-RA	E0M31_00014648-RC
OG0012317	DB47_00024318-RA	E0M31_00074535-RA
OG0012318	DB47_00008425-RE	E0M31_00006770-RA
OG0012324	DB47_00011911-RA	E0M31_00014407-RA
OG0012327	DB47_00025947-RD	E0M31_00002532-RA
OG0012328	DB47_00056120-RA	E0M31_00032083-RA
OG0012329	DB47_00016238-RA	E0M31_00067899-RA
OG0012338	DB47_00040106-RA	E0M31_00066504-RB
OG0012343	DB47_00018110-RA	E0M31_00012202-RA
OG0012347	DB47_00028751-RA	E0M31_00035410-RA
OG0012348	DB47_00026617-RA	E0M31_00047515-RA
OG0012349	DB47_00006771-RA	E0M31_00067491-RA
OG0012350	DB47_00022611-RB	E0M31_00037362-RA
OG0012351	DB47_00027560-RA	E0M31_00030015-RA
OG0012353	DB47_00012480-RA	E0M31_00035631-RB
OG0012356	DB47_00049071-RA	E0M31_00027544-RA
OG0012359	DB47_00014843-RA	E0M31_00036583-RA
OG0012360	DB47_00044405-RA	E0M31_00021610-RA
OG0012365	DB47_00048981-RA	E0M31_00046027-RA
OG0012370	DB47_00029529-RA	E0M31_00018011-RA
OG0012371	DB47_00016013-RB	E0M31_00040666-RB
OG0012373	DB47_00035209-RA	E0M31_00054744-RA
OG0012374	DB47_00021884-RB	E0M31_00014178-RC
OG0012378	DB47_00011679-RC	E0M31_00024633-RF
OG0012380	DB47_00000289-RA	E0M31_00021185-RA
OG0012381	DB47_00001644-RA	E0M31_00065608-RA
OG0012385	DB47_00034449-RA	E0M31_00008645-RA
OG0012386	DB47_00074326-RA	E0M31_00078985-RA
OG0012387	DB47_00075299-RA	E0M31_00058552-RA
OG0012388	DB47_00041772-RA	E0M31_00043282-RA
OG0012390	DB47_00055703-RA	E0M31_00048034-RB
OG0012391	DB47_00001858-RA	E0M31_00005705-RA
OG0012393	DB47_00045712-RA	E0M31_00016836-RA
OG0012395	DB47_00020454-RA	E0M31_00063301-RB
OG0012397	DB47_00002992-RH	E0M31_00001471-RI
OG0012399	DB47_00007845-RA	E0M31_00009471-RA
OG0012402	DB47_00058941-RA	E0M31_00056391-RA
OG0012403	DB47_00009853-RA	E0M31_00005527-RA
OG0012405	DB47_00048080-RA	E0M31_00042408-RA
OG0012408	DB47_00002689-RB	E0M31_00014713-RB
OG0012409	DB47_00022869-RA	E0M31_00031814-RA
OG0012413	DB47_00056494-RA	E0M31_00062972-RA
OG0012414	DB47_00022772-RA	E0M31_00004047-RF
OG0012415	DB47_00021494-RA	E0M31_00028318-RA
OG0012416	DB47_00034340-RB	E0M31_00065319-RA
OG0012420	DB47_00013652-RE	E0M31_00023257-RC
OG0012421	DB47_00046660-RA	E0M31_00028161-RA
OG0012422	DB47_00060598-RA	E0M31_00003790-RA
OG0012423	DB47_00023075-RA	E0M31_00021645-RA
OG0012425	DB47_00007255-RE	E0M31_00003989-RC
OG0012426	DB47_00006412-RG	E0M31_00001641-RC
OG0012429	DB47_00031425-RA	E0M31_00039066-RA
OG0012430	DB47_00048176-RA	E0M31_00005119-RC
OG0012433	DB47_00025489-RA	E0M31_00020990-RA
OG0012435	DB47_00036730-RA	E0M31_00070287-RA
OG0012436	DB47_00000114-RB	E0M31_00011226-RB
OG0012440	DB47_00062673-RA	E0M31_00072039-RA
OG0012443	DB47_00000770-RC	E0M31_00042007-RA
OG0012444	DB47_00035182-RA	E0M31_00028342-RA
OG0012446	DB47_00035319-RA	E0M31_00023137-RA
OG0012448	DB47_00010619-RA	E0M31_00013145-RB
OG0012449	DB47_00015655-RE	E0M31_00027316-RA
OG0012452	DB47_00027032-RA	E0M31_00005359-RG
OG0012453	DB47_00021639-RA	E0M31_00023992-RA
OG0012456	DB47_00044192-RA	E0M31_00070563-RA
OG0012461	DB47_00050381-RB	E0M31_00064749-RA
OG0012466	DB47_00008466-RA	E0M31_00017223-RA
OG0012468	DB47_00031430-RA	E0M31_00066899-RA
OG0012469	DB47_00055122-RA	E0M31_00044318-RA
OG0012470	DB47_00029297-RC	E0M31_00023541-RB
OG0012474	DB47_00003221-RA	E0M31_00010703-RB
OG0012475	DB47_00034457-RA	E0M31_00039956-RA
OG0012476	DB47_00064129-RA	E0M31_00071789-RA
OG0012479	DB47_00019676-RA	E0M31_00040354-RB
OG0012480	DB47_00007561-RB	E0M31_00014853-RC
OG0012488	DB47_00029312-RB	E0M31_00047659-RC
OG0012489	DB47_00018545-RA	E0M31_00072412-RA
OG0012494	DB47_00035699-RA	E0M31_00083569-RA
OG0012496	DB47_00039880-RA	E0M31_00011171-RA
OG0012499	DB47_00014515-RB	E0M31_00003566-RB
OG0012502	DB47_00016605-RA	E0M31_00000912-RC
OG0012503	DB47_00061066-RA	E0M31_00063549-RA
OG0012506	DB47_00021030-RC	E0M31_00011932-RA
OG0012511	DB47_00006226-RA	E0M31_00045344-RA
OG0012514	DB47_00038356-RA	E0M31_00013998-RA
OG0012515	DB47_00037432-RA	E0M31_00012487-RB
OG0012521	DB47_00015768-RA	E0M31_00072320-RA
OG0012523	DB47_00045698-RA	E0M31_00032524-RB
OG0012526	DB47_00052398-RA	E0M31_00001478-RA
OG0012527	DB47_00028160-RA	E0M31_00008452-RA
OG0012528	DB47_00023940-RC	E0M31_00043645-RB
OG0012529	DB47_00009651-RD	E0M31_00031502-RB
OG0012530	DB47_00002932-RB	E0M31_00035894-RA
OG0012532	DB47_00021177-RA	E0M31_00064824-RA
OG0012533	DB47_00060338-RA	E0M31_00025578-RA
OG0012534	DB47_00040563-RA	E0M31_00001101-RH
OG0012535	DB47_00063400-RA	E0M31_00064421-RA
OG0012538	DB47_00013758-RA	E0M31_00084845-RA
OG0012541	DB47_00011074-RA	E0M31_00002398-RA
OG0012544	DB47_00020707-RA	E0M31_00027555-RA
OG0012547	DB47_00059600-RA	E0M31_00081590-RA
OG0012553	DB47_00003024-RB	E0M31_00074094-RA
OG0012554	DB47_00034100-RC	E0M31_00067326-RA
OG0012557	DB47_00054080-RA	E0M31_00075464-RA
OG0012560	DB47_00048114-RA	E0M31_00051432-RA
OG0012561	DB47_00077147-RA	E0M31_00079760-RA
OG0012564	DB47_00021518-RE	E0M31_00017612-RE
OG0012569	DB47_00004581-RD	E0M31_00002350-RD
OG0012572	DB47_00005545-RA	E0M31_00081490-RA
OG0012574	DB47_00007680-RA	E0M31_00002751-RB
OG0012576	DB47_00061548-RA	E0M31_00002032-RA
OG0012580	DB47_00017186-RA	E0M31_00041098-RA
OG0012583	DB47_00045039-RA	E0M31_00080935-RA
OG0012585	DB47_00050523-RA	E0M31_00030685-RA
OG0012587	DB47_00076689-RA	E0M31_00049556-RA
OG0012588	DB47_00029636-RA	E0M31_00000603-RA
OG0012589	DB47_00019734-RA	E0M31_00008672-RA
OG0012591	DB47_00011399-RA	E0M31_00055650-RB
OG0012592	DB47_00017558-RA	E0M31_00040464-RA
OG0012593	DB47_00030093-RB	E0M31_00005959-RA
OG0012594	DB47_00019684-RB	E0M31_00074540-RA
OG0012595	DB47_00023552-RA	E0M31_00034987-RA
OG0012596	DB47_00056255-RA	E0M31_00013753-RA
OG0012598	DB47_00060465-RA	E0M31_00006957-RA
OG0012599	DB47_00035062-RA	E0M31_00064548-RA
OG0012600	DB47_00047218-RA	E0M31_00012782-RA
OG0012606	DB47_00030505-RA	E0M31_00042118-RC
OG0012607	DB47_00007364-RC	E0M31_00005421-RB
OG0012611	DB47_00031317-RA	E0M31_00032042-RB
OG0012615	DB47_00031958-RA	E0M31_00003871-RA
OG0012616	DB47_00020041-RA	E0M31_00014931-RA
OG0012617	DB47_00020039-RA	E0M31_00014929-RD
OG0012623	DB47_00013875-RA	E0M31_00004269-RA
OG0012624	DB47_00062645-RA	E0M31_00002449-RA
OG0012625	DB47_00017709-RB	E0M31_00002898-RC
OG0012629	DB47_00017998-RA	E0M31_00015077-RB
OG0012630	DB47_00006903-RB	E0M31_00001107-RD
OG0012631	DB47_00006906-RA	E0M31_00001104-RA
OG0012632	DB47_00006905-RF	E0M31_00001105-RC
OG0012635	DB47_00035537-RA	E0M31_00009151-RA
OG0012640	DB47_00013738-RA	E0M31_00064212-RA
OG0012644	DB47_00023257-RB	E0M31_00056230-RA
OG0012645	DB47_00018724-RA	E0M31_00001696-RD
OG0012649	DB47_00012947-RA	E0M31_00019563-RA
OG0012651	DB47_00025225-RB	E0M31_00023593-RA
OG0012653	DB47_00012620-RA	E0M31_00043228-RA
OG0012654	DB47_00002625-RA	E0M31_00006936-RA
OG0012655	DB47_00017627-RB	E0M31_00021751-RA
OG0012657	DB47_00046945-RA	E0M31_00017479-RA
OG0012659	DB47_00012771-RC	E0M31_00006633-RB
OG0012663	DB47_00002999-RB	E0M31_00004122-RA
OG0012668	DB47_00053513-RA	E0M31_00056860-RA
OG0012669	DB47_00031594-RA	E0M31_00063482-RA
OG0012671	DB47_00032055-RD	E0M31_00026014-RC
OG0012672	DB47_00044500-RA	E0M31_00064564-RA
OG0012673	DB47_00031136-RA	E0M31_00014313-RA
OG0012675	DB47_00027913-RA	E0M31_00010818-RB
OG0012677	DB47_00010935-RC	E0M31_00006558-RD
OG0012678	DB47_00042581-RA	E0M31_00028606-RA
OG0012680	DB47_00053939-RA	E0M31_00041665-RA
OG0012681	DB47_00061523-RA	E0M31_00074172-RA
OG0012684	DB47_00018427-RB	E0M31_00024331-RD
OG0012685	DB47_00011275-RB	E0M31_00019983-RB
OG0012686	DB47_00020401-RB	E0M31_00014471-RA
OG0012690	DB47_00019537-RE	E0M31_00010667-RD
OG0012693	DB47_00048867-RA	E0M31_00047809-RB
OG0012695	DB47_00053640-RA	E0M31_00044533-RC
OG0012697	DB47_00021388-RA	E0M31_00055819-RA
OG0012698	DB47_00060137-RA	E0M31_00020109-RA
OG0012701	DB47_00022792-RB	E0M31_00011386-RD
OG0012704	DB47_00071850-RA	E0M31_00017815-RB
OG0012707	DB47_00045340-RA	E0M31_00006821-RA
OG0012708	DB47_00015364-RA	E0M31_00091825-RA
OG0012710	DB47_00031362-RA	E0M31_00032562-RA
OG0012712	DB47_00045937-RB	E0M31_00070748-RA
OG0012714	DB47_00006747-RA	E0M31_00018504-RB
OG0012716	DB47_00007414-RA	E0M31_00071674-RA
OG0012717	DB47_00051729-RA	E0M31_00062063-RB
OG0012719	DB47_00006454-RB	E0M31_00003372-RA
OG0012720	DB47_00066893-RA	E0M31_00085264-RA
OG0012723	DB47_00067438-RA	E0M31_00080410-RA
OG0012726	DB47_00026783-RA	E0M31_00010440-RA
OG0012727	DB47_00034329-RB	E0M31_00007272-RD
OG0012731	DB47_00020285-RA	E0M31_00007473-RB
OG0012735	DB47_00026948-RA	E0M31_00030847-RA
OG0012736	DB47_00026949-RA	E0M31_00030846-RA
OG0012737	DB47_00020662-RB	E0M31_00027980-RA
OG0012740	DB47_00001305-RB	E0M31_00024029-RA
OG0012744	DB47_00019200-RA	E0M31_00022037-RA
OG0012745	DB47_00013740-RB	E0M31_00017281-RA
OG0012746	DB47_00016713-RB	E0M31_00022019-RB
OG0012750	DB47_00040085-RA	E0M31_00017246-RA
OG0012752	DB47_00005933-RA	E0M31_00040224-RB
OG0012758	DB47_00052335-RA	E0M31_00032285-RA
OG0012760	DB47_00031258-RA	E0M31_00032632-RA
OG0012761	DB47_00011749-RA	E0M31_00016661-RB
OG0012764	DB47_00002238-RB	E0M31_00025582-RA
OG0012765	DB47_00003817-RA	E0M31_00082656-RA
OG0012772	DB47_00009941-RA	E0M31_00079947-RA
OG0012774	DB47_00028310-RA	E0M31_00004836-RI
OG0012779	DB47_00008891-RA	E0M31_00051359-RA
OG0012783	DB47_00030057-RA	E0M31_00013681-RA
OG0012787	DB47_00023948-RA	E0M31_00041391-RC
OG0012789	DB47_00002909-RB	E0M31_00049399-RA
OG0012790	DB47_00050540-RA	E0M31_00031753-RA
OG0012794	DB47_00034130-RA	E0M31_00042149-RA
OG0012795	DB47_00029039-RB	E0M31_00010601-RA
OG0012796	DB47_00015459-RA	E0M31_00005149-RA
OG0012799	DB47_00006969-RA	E0M31_00003450-RA
OG0012800	DB47_00045766-RA	E0M31_00069870-RA
OG0012803	DB47_00001595-RA	E0M31_00018541-RB
OG0012807	DB47_00010059-RA	E0M31_00005947-RA
OG0012813	DB47_00036616-RA	E0M31_00092623-RA
OG0012816	DB47_00013941-RA	E0M31_00057297-RA
OG0012817	DB47_00012705-RA	E0M31_00008905-RA
OG0012818	DB47_00033084-RA	E0M31_00059669-RA
OG0012819	DB47_00035679-RA	E0M31_00030174-RA
OG0012820	DB47_00037649-RA	E0M31_00032912-RA
OG0012821	DB47_00028473-RB	E0M31_00068035-RA
OG0012822	DB47_00071533-RA	E0M31_00056683-RA
OG0012826	DB47_00052125-RA	E0M31_00071184-RA
OG0012829	DB47_00020841-RC	E0M31_00008721-RD
OG0012831	DB47_00022978-RA	E0M31_00042458-RA
OG0012832	DB47_00042088-RA	E0M31_00002016-RA
OG0012834	DB47_00033343-RB	E0M31_00037352-RA
OG0012835	DB47_00026859-RB	E0M31_00047674-RA
OG0012839	DB47_00019757-RA	E0M31_00026749-RA
OG0012847	DB47_00030441-RA	E0M31_00004575-RA
OG0012849	DB47_00027858-RA	E0M31_00071240-RA
OG0012852	DB47_00066713-RA	E0M31_00081594-RA
OG0012853	DB47_00034522-RB	E0M31_00008408-RD
OG0012858	DB47_00030115-RA	E0M31_00001686-RD
OG0012859	DB47_00004204-RF	E0M31_00005698-RB
OG0012860	DB47_00017403-RB	E0M31_00015279-RC
OG0012862	DB47_00000721-RB	E0M31_00005657-RB
OG0012863	DB47_00029780-RB	E0M31_00023155-RC
OG0012866	DB47_00038135-RB	E0M31_00018536-RA
OG0012868	DB47_00007351-RC	E0M31_00026393-RA
OG0012873	DB47_00000774-RD	E0M31_00019801-RA
OG0012874	DB47_00079730-RA	E0M31_00067225-RA
OG0012875	DB47_00032226-RA	E0M31_00060817-RA
OG0012877	DB47_00021955-RA	E0M31_00044912-RA
OG0012878	DB47_00037070-RB	E0M31_00032180-RA
OG0012879	DB47_00044598-RA	E0M31_00053515-RA
OG0012880	DB47_00008011-RA	E0M31_00016501-RB
OG0012884	DB47_00022877-RD	E0M31_00031855-RA
OG0012886	DB47_00012407-RA	E0M31_00024175-RC
OG0012889	DB47_00027608-RA	E0M31_00061364-RA
OG0012890	DB47_00043069-RA	E0M31_00071724-RA
OG0012891	DB47_00043059-RA	E0M31_00043092-RA
OG0012892	DB47_00035047-RA	E0M31_00055935-RA
OG0012893	DB47_00032435-RA	E0M31_00033131-RA
OG0012894	DB47_00038137-RB	E0M31_00006308-RB
OG0012895	DB47_00028444-RB	E0M31_00029639-RA
OG0012897	DB47_00002839-RA	E0M31_00071288-RA
OG0012898	DB47_00007175-RA	E0M31_00040832-RA
OG0012900	DB47_00015245-RA	E0M31_00066629-RA
OG0012901	DB47_00015338-RA	E0M31_00031565-RA
OG0012902	DB47_00060024-RA	E0M31_00022819-RA
OG0012903	DB47_00024030-RD	E0M31_00020693-RA
OG0012904	DB47_00017934-RA	E0M31_00012454-RD
OG0012908	DB47_00008720-RA	E0M31_00041870-RA
OG0012913	DB47_00018226-RA	E0M31_00005649-RB
OG0012917	DB47_00002543-RE	E0M31_00002529-RA
OG0012921	DB47_00008133-RA	E0M31_00004157-RB
OG0012924	DB47_00043309-RA	E0M31_00021744-RA
OG0012925	DB47_00046722-RB	E0M31_00044045-RA
OG0012926	DB47_00021700-RD	E0M31_00001835-RD
OG0012928	DB47_00016183-RA	E0M31_00035742-RA
OG0012931	DB47_00010779-RA	E0M31_00012963-RC
OG0012932	DB47_00003522-RA	E0M31_00001561-RA
OG0012935	DB47_00030973-RA	E0M31_00042600-RA
OG0012936	DB47_00015612-RE	E0M31_00034535-RA
OG0012938	DB47_00003835-RF	E0M31_00003716-RB
OG0012939	DB47_00010311-RA	E0M31_00080680-RA
OG0012941	DB47_00023593-RB	E0M31_00034120-RA
OG0012943	DB47_00041525-RA	E0M31_00031247-RA
OG0012944	DB47_00029969-RB	E0M31_00028751-RD
OG0012946	DB47_00036501-RC	E0M31_00027700-RB
OG0012949	DB47_00038330-RA	E0M31_00030922-RA
OG0012953	DB47_00003878-RB	E0M31_00028120-RA
OG0012954	DB47_00006473-RB	E0M31_00010431-RE
OG0012958	DB47_00033693-RA	E0M31_00026843-RA
OG0012959	DB47_00039672-RC	E0M31_00034029-RC
OG0012960	DB47_00056013-RA	E0M31_00040526-RA
OG0012965	DB47_00031689-RA	E0M31_00073808-RA
OG0012966	DB47_00036434-RA	E0M31_00060851-RA
OG0012970	DB47_00026356-RB	E0M31_00058452-RA
OG0012972	DB47_00015386-RA	E0M31_00028403-RC
OG0012975	DB47_00014556-RB	E0M31_00013774-RA
OG0012976	DB47_00050282-RB	E0M31_00035474-RA
OG0012977	DB47_00047677-RA	E0M31_00031275-RA
