transcript bin.x coverage.x strand.x gene.x cigar.x MD.x NM.x bin.y coverage.y strand.y gene.y cigar.y MD.y NM.y
augustus_masked-10930138-processed-gene-0.0-mRNA-1 myseq9000.fa.r112 0.99 16 9264521 804M MD:Z:804 NM:i:0 cdhit-output-4_15.iteration.1 0.99 16 3575191 804M MD:Z:804 NM:i:0
augustus_masked-112047644-processed-gene-0.0-mRNA-1 myseq9000.fa.r112 0.99 0 9239814 420M MD:Z:420 NM:i:0 cdhit-output-4_14.iteration.1 0.99 0 3012068 420M MD:Z:420 NM:i:0
augustus_masked-140382321-processed-gene-0.0-mRNA-1 myseq3000.fa.r112 0.99 0 9276712 1356M MD:Z:641A54G241T313T66C36 NM:i:5 cdhit-output-4_12.iteration.1 0.99 0 3297546 1356M MD:Z:696G241T313T66C36 NM:i:4
augustus_masked-146992770-processed-gene-0.0-mRNA-1 myseq3000.fa.r112 0.99 0 9298469 1011M MD:Z:21T989 NM:i:1 cdhit-output-4_12.iteration.1 0.99 0 3364591 1011M MD:Z:635T105G37T89C14T17T108 NM:i:6
augustus_masked-157132936-processed-gene-0.0-mRNA-1 myseq6000.fa.r112 0.99 0 764202 378M MD:Z:132G114G130 NM:i:2 cdhit-output-4_13.iteration.1 0.99 16 3914541 378M MD:Z:245C132 NM:i:1
augustus_masked-158414929-processed-gene-0.0-mRNA-1 myseq3000.fa.r112 0.99 0 9257326 339M MD:Z:47G291 NM:i:1 cdhit-output-4_11.iteration.1 0.99 16 3288066 339M MD:Z:237T53C47 NM:i:2
augustus_masked-158455949-processed-gene-0.1-mRNA-1 myseq9000.fa.r112 0.99 16 9194392 2805M MD:Z:56G186T287A131C1085G35C96T192C206T8A107C50C123G230 NM:i:13 cdhit-output-4_16.iteration.1 0.99 16 3062798 2805M MD:Z:56G186T287A131C1085G35C96T192C206T8A107C50C123G230 NM:i:13
augustus_masked-158581623-processed-gene-0.0-mRNA-1 myseq12000.fa.r112 0.99 0 7738574 1289M MD:Z:129C6G134G4G76A935 NM:i:5 cdhit-output-4_19.iteration.1 0.99 16 831509 1289M MD:Z:935T76C4C134C6G129 NM:i:5
augustus_masked-158749036-processed-gene-0.0-mRNA-1 myseq12000.fa.r112 0.99 0 7639801 1066M MD:Z:485A302T90C186 NM:i:3 cdhit-output-4_16.iteration.1 0.99 16 3093036 1066M MD:Z:186G90A302T485 NM:i:3
augustus_masked-158847211-processed-gene-0.0-mRNA-1 myseq6000.fa.r112 0.99 0 6838793 685M MD:Z:166G518 NM:i:1 cdhit-output-4_13.iteration.1 0.99 16 3957328 685M MD:Z:518C166 NM:i:1
augustus_masked-158868022-processed-gene-0.0-mRNA-1 myseq0.fa.r112 0.99 0 7165712 2424M MD:Z:464T289C27A155C52A116AT86G73C984A57T110 NM:i:11 cdhit-output-4_10.iteration.1 0.99 0 2846610 2424M MD:Z:754C27A155C52A116AT86G73C494A450C38A59T108 NM:i:12
