DB47_00000067-RE	E0M31_00011090-RD	77.87	375	23	3	16	330	67	441	0.0	565	85	74
DB47_00000087-RF	E0M31_00022170-RA	86.87	198	23	1	1	195	1	198	4e-125	359	58	58
DB47_00000109-RA	E0M31_00054694-RA	99.66	294	1	0	1	294	1	294	0.0	612	100	100
DB47_00000114-RB	E0M31_00011226-RB	80.92	152	11	3	1	135	1	151	2e-81	244	68	68
DB47_00000119-RB	E0M31_00008219-RD	80.91	351	39	2	7	357	58	380	0.0	561	98	98
DB47_00000166-RA	E0M31_00002985-RA	77.95	127	2	1	1	127	1	101	1e-66	197	100	100
DB47_00000167-RA	E0M31_00002989-RA	89.83	59	6	0	1	59	1	59	3e-35	114	84	84
DB47_00000289-RA	E0M31_00021185-RA	67.96	362	48	5	118	478	40	334	2e-125	369	76	76
DB47_00000306-RB	E0M31_00036512-RC	96.05	76	3	0	1	76	42	117	2e-48	149	100	100
DB47_00000360-RB	E0M31_00067986-RA	91.89	111	9	0	1	111	1	111	4e-72	213	84	84
DB47_00000400-RC	E0M31_00000641-RA	70.29	313	76	3	18	327	1	299	6e-142	404	95	95
DB47_00000531-RA	E0M31_00017415-RB	97.87	328	7	0	1	328	1	328	0.0	660	100	100
DB47_00000541-RA	E0M31_00023686-RA	99.75	791	2	0	1	791	1	791	0.0	1639	100	100
DB47_00000562-RB	E0M31_00019243-RA	95.24	21	1	0	1	21	120	140	2e-08	46.6	98	18
DB47_00000590-RA	E0M31_00073669-RA	97.56	82	2	0	1	82	1	82	1e-49	151	100	100
DB47_00000600-RB	E0M31_00000379-RB	63.21	212	57	4	1	192	19	229	9e-81	243	87	87
DB47_00000651-RA	E0M31_00007716-RA	100.00	245	0	0	1	245	1	245	0.0	503	100	100
DB47_00000680-RA	E0M31_00007028-RA	97.14	105	3	0	42	146	5	109	5e-71	209	72	72
DB47_00000721-RB	E0M31_00005657-RB	89.92	119	6	1	17	129	17	135	1e-73	218	72	72
DB47_00000726-RA	E0M31_00043841-RA	77.66	94	21	0	1	94	1	94	3e-48	149	89	89
DB47_00000743-RA	E0M31_00007213-RA	98.62	362	5	0	3	364	1	362	0.0	747	99	99
DB47_00000770-RC	E0M31_00042007-RA	98.89	90	1	0	1	90	1	90	4e-59	177	75	75
DB47_00000774-RD	E0M31_00019801-RA	98.02	101	2	0	229	329	167	267	2e-66	209	77	31
DB47_00000881-RC	E0M31_00010277-RB	95.77	142	6	0	1	142	1	142	4e-98	280	86	86
DB47_00000918-RA	E0M31_00061342-RA	95.24	126	6	0	1	126	7	132	3e-82	246	45	45
DB47_00000952-RA	E0M31_00017009-RA	98.67	750	10	0	1	750	1	750	0.0	1549	100	100
DB47_00001003-RA	E0M31_00000833-RE	100.00	44	0	0	206	249	245	288	4e-24	95.5	98	18
DB47_00001005-RA	E0M31_00000836-RA	99.40	168	1	0	19	186	3	170	9e-125	350	90	90
DB47_00001006-RA	E0M31_00000838-RA	99.63	273	1	0	110	382	1	273	0.0	560	71	71
DB47_00001100-RA	E0M31_00031978-RA	90.74	54	5	0	1	54	1	54	6e-30	101	49	49
DB47_00001188-RC	E0M31_00002988-RC	96.21	132	5	0	34	165	4	135	6e-94	275	90	79
DB47_00001280-RB	E0M31_00005164-RH	74.50	596	80	7	1	594	1	526	0.0	835	100	100
DB47_00001291-RC	E0M31_00000123-RB	81.04	385	39	4	163	531	1	367	0.0	584	68	68
DB47_00001305-RB	E0M31_00024029-RA	52.01	473	111	7	41	511	1	359	8e-134	395	80	80
DB47_00001306-RB	E0M31_00048452-RA	82.62	679	109	2	9	680	31	707	0.0	1060	92	92
DB47_00001595-RA	E0M31_00018541-RB	90.05	191	19	0	6	196	32	222	1e-126	358	97	97
DB47_00001615-RD	E0M31_00018170-RD	99.27	274	1	1	644	917	177	449	0.0	556	97	30
DB47_00001630-RA	E0M31_00050041-RA	100.00	227	0	0	1	227	75	301	3e-165	459	100	100
DB47_00001632-RA	E0M31_00014414-RA	94.16	257	15	0	1	257	1	257	8e-178	491	96	96
DB47_00001633-RA	E0M31_00046498-RA	72.33	412	54	5	1	403	1	361	0.0	547	96	96
DB47_00001644-RA	E0M31_00065608-RA	98.94	94	1	0	1	94	1	94	5e-65	192	88	88
DB47_00001791-RB	E0M31_00030157-RA	90.91	55	5	0	45	99	41	95	2e-30	105	54	54
DB47_00001825-RA	E0M31_00049916-RA	68.47	203	48	3	1	188	1	202	2e-94	274	100	100
DB47_00001858-RA	E0M31_00005705-RA	98.21	56	1	0	180	235	121	176	4e-33	117	75	24
DB47_00001864-RA	E0M31_00059424-RA	95.83	48	2	0	1	48	1	48	7e-28	96.3	48	48
DB47_00001890-RC	E0M31_00011910-RA	94.44	36	2	0	62	97	110	145	3e-17	70.9	57	37
DB47_00001891-RA	E0M31_00011909-RB	77.78	126	27	1	13	138	1	125	5e-62	189	64	64
DB47_00001906-RB	E0M31_00009063-RE	82.78	331	35	4	1	315	16	340	0.0	537	99	99
DB47_00001921-RC	E0M31_00038827-RA	97.59	291	7	0	6	296	5	295	0.0	594	86	86
DB47_00001922-RA	E0M31_00038829-RA	95.82	335	14	0	1	335	1	335	0.0	671	100	100
DB47_00002007-RA	E0M31_00010628-RB	88.78	98	4	1	1	91	1	98	6e-47	176	99	11
DB47_00002093-RA	E0M31_00033084-RA	91.61	322	27	0	1	322	1	322	0.0	610	98	98
DB47_00002238-RB	E0M31_00025582-RA	83.00	353	50	1	1	343	1	353	0.0	572	100	100
DB47_00002421-RA	E0M31_00023529-RC	85.17	209	20	1	25	222	254	462	8e-121	352	96	85
DB47_00002428-RA	E0M31_00010903-RB	97.43	272	7	0	1	272	1	272	0.0	548	100	100
DB47_00002464-RF	E0M31_00021393-RD	69.17	253	44	5	22	273	39	258	1e-105	309	92	92
DB47_00002516-RA	E0M31_00070821-RA	68.19	459	25	5	1	408	1	389	0.0	586	100	100
DB47_00002525-RB	E0M31_00026577-RC	68.42	133	18	1	1	109	28	160	1e-55	172	97	97
DB47_00002542-RA	E0M31_00002528-RA	95.51	245	11	0	1	245	2	246	9e-169	467	100	100
DB47_00002543-RE	E0M31_00002529-RA	59.81	321	51	7	27	346	26	269	7e-109	320	92	92
DB47_00002625-RA	E0M31_00006936-RA	88.47	824	35	4	1	816	71	842	0.0	1478	100	100
DB47_00002678-RA	E0M31_00040784-RA	95.08	305	5	1	1	295	1	305	0.0	566	94	94
DB47_00002681-RA	E0M31_00036285-RA	100.00	171	0	0	1	171	1	171	1e-126	353	100	100
DB47_00002685-RB	E0M31_00008957-RA	75.92	245	13	1	26	270	5	203	9e-128	362	91	91
DB47_00002689-RB	E0M31_00014713-RB	99.11	447	4	0	1	447	1	447	0.0	905	100	100
DB47_00002700-RA	E0M31_00003733-RA	97.42	349	9	0	1	349	1	349	0.0	700	100	100
DB47_00002706-RC	E0M31_00014992-RA	57.14	28	12	0	193	220	123	150	1e-05	42.0	46	5
DB47_00002708-RA	E0M31_00073663-RA	99.26	673	5	0	1	673	1	673	0.0	1409	100	100
DB47_00002710-RA	E0M31_00018239-RB	93.80	242	14	1	49	290	63	303	8e-166	464	83	83
DB47_00002731-RA	E0M31_00028396-RA	78.63	234	2	2	1	234	1	186	4e-124	351	98	98
DB47_00002839-RA	E0M31_00071288-RA	84.48	232	31	2	1	227	1	232	1e-137	387	100	100
DB47_00002846-RC	E0M31_00007269-RD	97.06	102	3	0	31	132	104	205	1e-65	206	91	30
DB47_00002909-RB	E0M31_00049399-RA	85.25	305	37	2	40	337	7	310	1e-176	494	88	88
DB47_00002926-RA	E0M31_00004780-RA	97.15	631	14	1	1	631	1	627	0.0	1259	99	99
DB47_00002932-RB	E0M31_00035894-RA	93.53	170	11	0	19	188	6	175	2e-106	303	90	90
DB47_00002992-RH	E0M31_00001471-RI	77.55	98	22	0	438	535	78	175	8e-41	154	86	18
DB47_00002999-RB	E0M31_00004122-RA	92.15	395	4	1	1	368	1	395	0.0	729	96	96
DB47_00003024-RB	E0M31_00074094-RA	87.26	212	19	1	16	219	10	221	1e-130	368	93	93
DB47_00003045-RA	E0M31_00053391-RA	90.20	408	1	1	1	408	1	369	0.0	707	100	100
DB47_00003081-RA	E0M31_00046839-RB	82.61	92	16	0	7	98	14	105	8e-50	154	94	94
DB47_00003221-RA	E0M31_00010703-RB	94.20	345	2	1	115	459	1	327	0.0	657	75	75
DB47_00003364-RA	E0M31_00018747-RA	100.00	89	0	0	161	249	1	89	8e-59	181	36	36
DB47_00003379-RC	E0M31_00006295-RC	83.15	546	18	3	143	641	40	558	0.0	895	78	78
DB47_00003399-RD	E0M31_00005038-RD	93.22	546	13	2	1	522	1	546	0.0	1042	100	100
DB47_00003446-RB	E0M31_00000864-RA	93.38	272	14	2	21	288	1	272	0.0	512	82	82
DB47_00003471-RB	E0M31_00013969-RD	87.84	74	9	0	554	627	266	339	7e-35	135	99	10
DB47_00003495-RA	E0M31_00005491-RA	99.54	647	3	0	1	647	1	647	0.0	1347	100	100
DB47_00003522-RA	E0M31_00001561-RA	99.00	502	5	0	1	502	1	502	0.0	1032	93	93
DB47_00003545-RA	E0M31_00015576-RA	96.43	112	4	0	1	112	1	112	1e-73	214	100	100
DB47_00003586-RB	E0M31_00008076-RA	100.00	18	0	0	1	18	130	147	9e-07	45.8	81	6
DB47_00003611-RA	E0M31_00008795-RB	82.13	235	15	1	1	208	1	235	8e-137	384	100	100
DB47_00003619-RB	E0M31_00004526-RA	59.69	191	50	4	22	185	1	191	2e-64	197	88	88
DB47_00003634-RE	E0M31_00002488-RB	81.15	366	28	3	1	325	1	366	0.0	578	100	100
DB47_00003651-RB	E0M31_00049836-RA	98.25	343	6	0	322	664	172	514	0.0	716	80	52
DB47_00003740-RE	E0M31_00009770-RB	79.10	134	16	2	12	145	110	231	2e-65	199	92	92
DB47_00003760-RA	E0M31_00014974-RA	100.00	106	0	0	12	117	16	121	1e-72	216	53	53
DB47_00003816-RA	E0M31_00047715-RA	76.32	76	18	0	92	167	1	76	5e-38	127	44	44
DB47_00003817-RA	E0M31_00082656-RA	97.23	253	7	0	1	253	1	253	0.0	502	100	100
DB47_00003835-RF	E0M31_00003716-RB	70.97	217	23	4	11	198	111	316	2e-95	281	95	95
DB47_00003878-RB	E0M31_00028120-RA	94.40	268	14	1	107	374	1	267	0.0	510	91	72
DB47_00003895-RJ	E0M31_00006654-RD	91.80	61	5	0	266	326	1	61	2e-31	119	89	17
DB47_00003949-RC	E0M31_00002826-RE	92.86	56	4	0	1204	1259	539	594	1e-24	107	95	4
DB47_00003964-RA	E0M31_00023090-RA	63.55	203	34	2	1	202	41	204	7e-68	208	93	93
DB47_00003990-RA	E0M31_00026244-RD	71.22	139	1	1	1	139	10	109	1e-58	178	86	86
DB47_00004032-RA	E0M31_00053841-RA	98.75	319	4	0	15	333	12	330	0.0	630	96	96
DB47_00004204-RF	E0M31_00005698-RB	82.57	350	36	2	1	325	1	350	0.0	565	100	100
DB47_00004250-RB	E0M31_00070590-RA	100.00	91	0	0	1	91	1	91	4e-62	184	100	100
DB47_00004283-RB	E0M31_00018052-RD	70.13	529	47	6	43	494	1	495	0.0	671	91	91
DB47_00004286-RA	E0M31_00002024-RA	100.00	260	0	0	1	260	1	260	0.0	531	100	100
DB47_00004356-RA	E0M31_00021564-RB	89.84	256	25	1	59	314	7	261	7e-158	483	95	35
DB47_00004360-RA	E0M31_00071312-RA	99.56	913	4	0	8	920	1	913	0.0	1860	99	99
DB47_00004372-RA	E0M31_00061291-RA	100.00	184	0	0	1	184	1	184	8e-137	380	100	100
DB47_00004391-RC	E0M31_00043733-RA	91.66	971	21	5	372	1331	1	922	0.0	1785	99	72
DB47_00004401-RA	E0M31_00002367-RA	96.77	371	12	0	562	932	301	671	0.0	736	95	40
DB47_00004417-RB	E0M31_00000360-RC	98.67	825	0	1	1	814	1	825	0.0	1689	100	100
DB47_00004538-RA	E0M31_00000258-RB	98.43	318	5	0	1	318	1	318	0.0	656	100	100
DB47_00004581-RD	E0M31_00002350-RD	79.49	234	47	1	383	615	175	408	4e-119	375	98	35
DB47_00004610-RA	E0M31_00006067-RA	77.78	81	16	1	32	112	13	91	9e-36	119	67	67
DB47_00004636-RA	E0M31_00040720-RC	80.06	346	26	2	1	303	32	377	0.0	548	100	100
DB47_00004709-RB	E0M31_00002771-RC	43.20	125	28	3	1	82	1	125	2e-20	79.0	69	69
DB47_00004714-RA	E0M31_00045239-RA	100.00	176	0	0	1	176	1	176	9e-130	363	92	92
DB47_00004790-RC	E0M31_00022790-RB	71.83	323	61	5	31	351	126	420	5e-151	433	89	89
DB47_00004794-RA	E0M31_00003851-RA	97.37	38	1	0	1	38	14	51	1e-22	80.5	86	86
DB47_00004819-RB	E0M31_00037632-RB	65.35	101	29	2	59	159	13	107	1e-38	127	64	64
DB47_00004839-RA	E0M31_00033510-RA	68.80	125	3	1	1	125	1	89	2e-53	163	100	100
DB47_00004903-RA	E0M31_00031777-RA	97.08	445	9	1	1	441	1	445	0.0	881	100	100
DB47_00004921-RB	E0M31_00006110-RA	97.87	329	7	0	1	329	1	329	0.0	672	100	100
DB47_00005001-RA	E0M31_00069762-RA	70.79	89	2	1	40	104	1	89	2e-35	119	63	63
DB47_00005084-RA	E0M31_00055914-RA	86.67	75	10	0	1	75	8	82	2e-42	133	80	80
DB47_00005134-RA	E0M31_00046902-RA	83.73	332	51	1	213	544	2	330	0.0	521	87	61
DB47_00005241-RB	E0M31_00001544-RA	84.83	211	5	1	19	202	1	211	3e-119	343	91	91
DB47_00005300-RC	E0M31_00011420-RB	86.95	705	34	6	1	704	1	648	0.0	1206	100	100
