trans	PG29v5	Q903	WS77111v2
contig00782--3393-1620	1	0	0
contig01614--2962-1317	0	0	1
contig02129--2344-668	0	0	1
contig03598--2538-954	1	1	1
contig04653--217-1636	1	1	1
contig04892--2347-723	0	1	0
contig06293--2129-113	0	1	1
contig06594--723-2321	0	0	1
contig07309--2373-53	1	2	1
contig11914--2114-465	0	1	0
contig14127--2201-813	0	1	0
contig16621--1789-434	0	0	2
contig17675--1669-7	0	1	2
contig21644--1821-235	0	1	0
GQ0209_M12.1	1	1	1
GQ03209_D12.2	0	1	1
GQ03503_K05.1	1	0	1
GQ03804_I10.1	1	0	0
GQ03809_N18.1	2	1	0
GQ03901_K02.1	0	2	0
k60_k42_497091	0	1	0
k60_k44_1436599_rc	1	0	1
k60_k46_6293916_rc	0	1	0
k60_k48_5926475_rc	1	1	2
k60_k52_5356095_rc	0	1	0
k60_k52_5367716	2	1	0
PG01r131103s158351278--668-2272	1	1	1
PG01r131103s162313884--4029-1023	1	1	1
PG01r131103s163556712--2528-956	0	1	0
PG01r131103s166066774--1834-236	1	1	0
PG01r131103s166452545--2465-5748	1	1	1
PG01r131103s166549859--364-3672	1	1	1
PG01r131103s167065340--1690-74	1	0	1
PG01r131103s167824769--6810-5353	0	1	0
PG01r131103s167865484--4716-1300	1	0	0
PG01r131103s167940412--9041-10825	1	0	0
PG01r131103s167992861--22069-23712	1	1	1
PG01r131103s168090066--21021-19430	1	1	1
PG01r131103s168184614--2628-4005	1	0	0
PG01r131103s168184900--173444-171748	1	0	0
PG01r131103s168187470--33944-1639	1	0	0
PG01r131103s168226864--5524-7125	1	1	1
PG01r131103s168249909--8067-5337	1	0	1
PG01r131103s168249909--83406-74201	1	1	1
PG01r131103s168251382--883-2935	1	1	0
PG01r131103s168344834--43574-45287	1	0	1
PG01r131103s168366332--43314-44736	0	0	1
PG01r131103s168406731--101549-96865	1	0	1
PG01r131103s168455701--26627-22645	1	1	1
PG01r131103s168473611--39-1754	1	1	0
PG01r131103s168494061--53194-49966	2	0	0
PG01r131103s168509125--4399-2007	1	1	1
PG01r131103s168527758--15391-12272	1	1	1
PG01r131103s168528283--42952-46211	1	0	2
PG01r131103s168536580--1680-95293	1	1	0
PG01r131103s168536580--8172-10780	1	0	1
PG01r131103s168536669--1899-3296	1	1	1
PG01r131103s168546086--164374-165958	1	1	0
PG01r131103s168547186--206854-210400	1	0	1
PG01r131103s168549378--492-5066	1	1	2
PG01r131103s168551394--15939-13288	1	1	1
PG01r131103s168551880--111147-109553	1	1	1
PG01r131103s168557292--233515-51792	0	1	1
PG01r131103s168562166--115737-113359	3	1	1
PG01r131103s168571416--105584-102193	1	1	0
PG01r131103s168572213--10539-12245	1	1	2
PG01r131103s168577187--38951-37439	1	1	1
PG29_BFMXY_Trinity_Pasafly_comp193217_c0_seq1	1	0	1
PG29_BFMXY_Trinity_Pasafly_comp272275_c0_seq1_rc	1	1	1
PG29_BFMXY_Trinity_Pasafly_comp348758_c0_seq3	1	1	2
PG29_BFMXY_Trinity_Pasafly_comp376832_c0_seq2	0	0	1
PG29_BFMXY_Trinity_Pasafly_comp386017_c0_seq2	0	1	1
PG29_BFMXY_Trinity_Pasafly_comp392649_c0_seq1	0	0	1
PG29_BFMXY_Trinity_Pasafly_comp394864_c0_seq4_rc	1	0	0
PG29_BFMXY_Trinity_Pasafly_comp395509_c0_seq1_rc	1	1	2
PG29_BFMXY_Trinity_Pasafly_comp396261_c0_seq1_rc	0	0	1
PG29_BFMXY_Trinity_Pasafly_comp396822_c0_seq1_rc	1	1	1
PG29_BFMXY_Trinity_Pasafly_comp399391_c1_seq4_rc	1	0	0
PG29_BFMXY_Trinity_Pasafly_comp401032_c0_seq2_rc	0	1	1
PG29_BFMXY_Trinity_Pasafly_comp403847_c0_seq1_rc	1	1	1
PG29_BFMXY_Trinity_Pasafly_comp407023_c0_seq1	1	0	1
PG29_BFMXY_Trinity_Pasafly_comp409799_c0_seq2_rc	1	0	1
PG29_BFMXY_Trinity_Pasafly_comp411852_c0_seq1_rc	1	1	0
PG29_BFMXY_Trinity_Pasafly_comp412895_c0_seq1_rc	0	0	1
PG29_BFMXY_Trinity_Pasafly_comp413853_c0_seq1_rc	2	1	0
PG29_BFMXY_Trinity_Pasafly_comp415440_c1_seq1	0	1	0
PG29_BFMXY_Trinity_Pasafly_comp418609_c2_seq1_rc	0	1	1
PG29_BFMXY_Trinity_Pasafly_comp423449_c0_seq1_rc	1	1	1
