OG0012315	ABT39_00035779-RB	DB47_00014285-RA
OG0012317	ABT39_00004127-RB	DB47_00024318-RA
OG0012318	ABT39_00029388-RB	DB47_00008425-RE
OG0012319	ABT39_00036744-RA	DB47_00002449-RA
OG0012324	ABT39_00036303-RB	DB47_00011911-RA
OG0012327	ABT39_00045957-RB	DB47_00025947-RD
OG0012328	ABT39_00073371-RA	DB47_00056120-RA
OG0012329	ABT39_00097844-RA	DB47_00016238-RA
OG0012334	ABT39_00087863-RA	DB47_00040401-RB
OG0012338	ABT39_00102344-RA	DB47_00040106-RA
OG0012339	ABT39_00062156-RA	DB47_00013324-RA
OG0012340	ABT39_00074806-RA	DB47_00003367-RA
OG0012342	ABT39_00051498-RB	DB47_00027895-RA
OG0012343	ABT39_00026945-RB	DB47_00018110-RA
OG0012347	ABT39_00073770-RA	DB47_00028751-RA
OG0012348	ABT39_00022912-RA	DB47_00026617-RA
OG0012349	ABT39_00030847-RA	DB47_00006771-RA
OG0012350	ABT39_00071215-RA	DB47_00022611-RB
OG0012351	ABT39_00058575-RA	DB47_00027560-RA
OG0012353	ABT39_00014471-RC	DB47_00012480-RA
OG0012356	ABT39_00091034-RA	DB47_00049071-RA
OG0012359	ABT39_00003502-RA	DB47_00014843-RA
OG0012360	ABT39_00003660-RB	DB47_00044405-RA
OG0012362	ABT39_00006056-RA	DB47_00018862-RA
OG0012365	ABT39_00033662-RA	DB47_00048981-RA
OG0012368	ABT39_00073958-RA	DB47_00016032-RA
OG0012370	ABT39_00015310-RA	DB47_00029529-RA
OG0012371	ABT39_00005865-RB	DB47_00016013-RB
OG0012373	ABT39_00001344-RB	DB47_00035209-RA
OG0012374	ABT39_00001348-RB	DB47_00021884-RB
OG0012375	ABT39_00036995-RA	DB47_00049825-RA
OG0012378	ABT39_00016366-RA	DB47_00011679-RC
OG0012380	ABT39_00059318-RA	DB47_00000289-RA
OG0012381	ABT39_00062766-RA	DB47_00001644-RA
OG0012385	ABT39_00030886-RA	DB47_00034449-RA
OG0012386	ABT39_00046731-RA	DB47_00074326-RA
OG0012387	ABT39_00111343-RA	DB47_00075299-RA
OG0012388	ABT39_00020465-RB	DB47_00041772-RA
OG0012390	ABT39_00041961-RA	DB47_00055703-RA
OG0012391	ABT39_00053848-RA	DB47_00001858-RA
OG0012393	ABT39_00055285-RA	DB47_00045712-RA
OG0012394	ABT39_00064262-RA	DB47_00044669-RA
OG0012395	ABT39_00043419-RA	DB47_00020454-RA
OG0012397	ABT39_00026851-RA	DB47_00002992-RH
OG0012399	ABT39_00010602-RB	DB47_00007845-RA
OG0012402	ABT39_00075836-RB	DB47_00058941-RA
OG0012403	ABT39_00049555-RA	DB47_00009853-RA
OG0012405	ABT39_00057787-RA	DB47_00048080-RA
OG0012408	ABT39_00017884-RB	DB47_00002689-RB
OG0012409	ABT39_00038706-RA	DB47_00022869-RA
OG0012411	ABT39_00035370-RA	DB47_00019895-RB
OG0012413	ABT39_00048842-RA	DB47_00056494-RA
OG0012414	ABT39_00007302-RB	DB47_00022772-RA
OG0012415	ABT39_00032187-RE	DB47_00021494-RA
OG0012416	ABT39_00113863-RA	DB47_00034340-RB
OG0012418	ABT39_00091215-RA	DB47_00045525-RA
OG0012420	ABT39_00015878-RC	DB47_00013652-RE
OG0012421	ABT39_00021971-RA	DB47_00046660-RA
OG0012422	ABT39_00043388-RA	DB47_00060598-RA
OG0012423	ABT39_00046985-RA	DB47_00023075-RA
OG0012425	ABT39_00072637-RB	DB47_00007255-RE
OG0012426	ABT39_00002524-RF	DB47_00006412-RG
OG0012427	ABT39_00013429-RA	DB47_00010114-RA
OG0012429	ABT39_00034064-RA	DB47_00031425-RA
OG0012430	ABT39_00035118-RA	DB47_00048176-RA
OG0012433	ABT39_00043626-RA	DB47_00025489-RA
OG0012435	ABT39_00002237-RB	DB47_00036730-RA
OG0012436	ABT39_00002706-RC	DB47_00000114-RB
OG0012440	ABT39_00012074-RA	DB47_00062673-RA
OG0012443	ABT39_00009293-RC	DB47_00000770-RC
OG0012444	ABT39_00017399-RA	DB47_00035182-RA
OG0012446	ABT39_00091023-RA	DB47_00035319-RA
OG0012448	ABT39_00008686-RG	DB47_00010619-RA
OG0012449	ABT39_00001043-RA	DB47_00015655-RE
OG0012452	ABT39_00011168-RB	DB47_00027032-RA
OG0012453	ABT39_00032758-RC	DB47_00021639-RA
OG0012454	ABT39_00041290-RA	DB47_00036262-RA
OG0012456	ABT39_00031428-RA	DB47_00044192-RA
OG0012461	ABT39_00112206-RA	DB47_00050381-RB
OG0012462	ABT39_00075122-RB	DB47_00002036-RA
OG0012466	ABT39_00050429-RB	DB47_00008466-RA
OG0012468	ABT39_00088474-RA	DB47_00031430-RA
OG0012469	ABT39_00082545-RA	DB47_00055122-RA
OG0012470	ABT39_00022540-RB	DB47_00029297-RC
OG0012471	ABT39_00093610-RA	DB47_00059474-RA
OG0012472	ABT39_00009324-RH	DB47_00049222-RA
OG0012474	ABT39_00055004-RA	DB47_00003221-RA
OG0012475	ABT39_00022128-RC	DB47_00034457-RA
OG0012476	ABT39_00098652-RA	DB47_00064129-RA
OG0012479	ABT39_00058318-RB	DB47_00019676-RA
OG0012480	ABT39_00028965-RC	DB47_00007561-RB
OG0012482	ABT39_00058518-RB	DB47_00036385-RB
OG0012483	ABT39_00001602-RA	DB47_00000818-RA
OG0012488	ABT39_00061171-RC	DB47_00029312-RB
OG0012489	ABT39_00068132-RB	DB47_00018545-RA
OG0012494	ABT39_00076729-RA	DB47_00035699-RA
OG0012496	ABT39_00013130-RA	DB47_00039880-RA
OG0012499	ABT39_00011235-RC	DB47_00014515-RB
OG0012500	ABT39_00012269-RA	DB47_00022930-RA
OG0012502	ABT39_00022650-RC	DB47_00016605-RA
OG0012503	ABT39_00099385-RA	DB47_00061066-RA
OG0012506	ABT39_00073275-RB	DB47_00021030-RC
OG0012511	ABT39_00109097-RA	DB47_00006226-RA
OG0012514	ABT39_00046245-RA	DB47_00038356-RA
OG0012515	ABT39_00030321-RB	DB47_00037432-RA
OG0012517	ABT39_00116988-RA	DB47_00078933-RA
OG0012519	ABT39_00082339-RA	DB47_00042476-RA
OG0012521	ABT39_00064754-RA	DB47_00015768-RA
OG0012523	ABT39_00047928-RA	DB47_00045698-RA
OG0012526	ABT39_00044459-RA	DB47_00052398-RA
OG0012527	ABT39_00021274-RB	DB47_00028160-RA
OG0012528	ABT39_00005742-RB	DB47_00023940-RC
OG0012529	ABT39_00059548-RA	DB47_00009651-RD
OG0012530	ABT39_00001702-RB	DB47_00002932-RB
OG0012532	ABT39_00010102-RA	DB47_00021177-RA
OG0012533	ABT39_00041036-RB	DB47_00060338-RA
OG0012534	ABT39_00065685-RA	DB47_00040563-RA
OG0012535	ABT39_00079091-RB	DB47_00063400-RA
OG0012536	ABT39_00061742-RA	DB47_00055088-RA
OG0012538	ABT39_00007033-RA	DB47_00013758-RA
OG0012541	ABT39_00036671-RA	DB47_00011074-RA
OG0012544	ABT39_00021973-RD	DB47_00020707-RA
OG0012547	ABT39_00107272-RA	DB47_00059600-RA
OG0012553	ABT39_00015441-RB	DB47_00003024-RB
OG0012554	ABT39_00093199-RA	DB47_00034100-RC
OG0012557	ABT39_00048443-RA	DB47_00054080-RA
OG0012560	ABT39_00083946-RA	DB47_00048114-RA
OG0012561	ABT39_00063475-RA	DB47_00077147-RA
OG0012564	ABT39_00034342-RE	DB47_00021518-RE
OG0012567	ABT39_00098097-RA	DB47_00026854-RA
OG0012568	ABT39_00062856-RA	DB47_00007548-RA
OG0012569	ABT39_00012457-RA	DB47_00004581-RD
OG0012572	ABT39_00010487-RA	DB47_00005545-RA
OG0012573	ABT39_00000024-RC	DB47_00012495-RB
OG0012574	ABT39_00035914-RA	DB47_00007680-RA
OG0012575	ABT39_00014571-RA	DB47_00029213-RA
OG0012576	ABT39_00010111-RA	DB47_00061548-RA
