bin coverage transcript strand gene cigar MD NM fileName species introns_len introns_num swap.introns_len
myseq0.fa.r112 0.99 snap_masked-167263573-processed-gene-0.2-mRNA-1 16 7168502 956M464N1774M MD:Z:458G299T18T606T391C89A730A132 NM:i:7 /projects/btl/kgagalova/PHD_projects/SpruceUp/KollectorGeneReconstruction3species/PreliminaryResults1June/data/OverlapTranscriptsPG29_sam.txt PG29 464 1 464
myseq9000.fa.r112 0.99 snap_masked-168184386-processed-gene-0.10-mRNA-1 16 9212346 246M MD:Z:246 NM:i:0 /projects/btl/kgagalova/PHD_projects/SpruceUp/KollectorGeneReconstruction3species/PreliminaryResults1June/data/OverlapTranscriptsPG29_sam.txt PG29 NA 0 NA
myseq12000.fa.r112 0.99 augustus_masked-161520615-processed-gene-0.1-mRNA-1 0 7729342 1488M MD:Z:245A353A407G480 NM:i:3 /projects/btl/kgagalova/PHD_projects/SpruceUp/KollectorGeneReconstruction3species/PreliminaryResults1June/data/OverlapTranscriptsPG29_sam.txt PG29 NA 0 NA
myseq0.fa.r112 0.99 augustus_masked-168547071-processed-gene-0.10-mRNA-1 16 7121509 834M MD:Z:363G258G211 NM:i:2 /projects/btl/kgagalova/PHD_projects/SpruceUp/KollectorGeneReconstruction3species/PreliminaryResults1June/data/OverlapTranscriptsPG29_sam.txt PG29 NA 0 NA
myseq0.fa.r112 0.99 augustus_masked-168464524-processed-gene-0.3-mRNA-1 16 7022802 664M MD:Z:664 NM:i:0 /projects/btl/kgagalova/PHD_projects/SpruceUp/KollectorGeneReconstruction3species/PreliminaryResults1June/data/OverlapTranscriptsPG29_sam.txt PG29 NA 0 NA
myseq0.fa.r112 0.99 snap_masked-168293352-processed-gene-0.9-mRNA-1 16 7157549 414M MD:Z:414 NM:i:0 /projects/btl/kgagalova/PHD_projects/SpruceUp/KollectorGeneReconstruction3species/PreliminaryResults1June/data/OverlapTranscriptsPG29_sam.txt PG29 NA 0 NA
myseq0.fa.r112 0.99 maker-162284100-snap-gene-0.5-mRNA-1 0 2553888 67M336N37M122N106M355N290M MD:Z:414T18A52T13 NM:i:3 /projects/btl/kgagalova/PHD_projects/SpruceUp/KollectorGeneReconstruction3species/PreliminaryResults1June/data/OverlapTranscriptsPG29_sam.txt PG29 336,122,355 3 336,122,355
myseq0.fa.r112 0.99 maker-166941230-snap-gene-0.4-mRNA-1 16 5246419 518M105N253M95N162M152N108M478N232M MD:Z:35T8T314G80G243T588 NM:i:5 /projects/btl/kgagalova/PHD_projects/SpruceUp/KollectorGeneReconstruction3species/PreliminaryResults1June/data/OverlapTranscriptsPG29_sam.txt PG29 105,95,152,478 4 478,152,95,105
myseq0.fa.r112 0.99 genemark-163805127-processed-gene-0.2-mRNA-1 0 7022592 447M MD:Z:7C287C50G100 NM:i:3 /projects/btl/kgagalova/PHD_projects/SpruceUp/KollectorGeneReconstruction3species/PreliminaryResults1June/data/OverlapTranscriptsPG29_sam.txt PG29 NA 0 NA
myseq0.fa.r112 0.99 maker-168410555-snap-gene-0.56-mRNA-1 0 7128648 790M113N1577M MD:Z:199T7T193A171G83G205C118T341G464A18T558 NM:i:10 /projects/btl/kgagalova/PHD_projects/SpruceUp/KollectorGeneReconstruction3species/PreliminaryResults1June/data/OverlapTranscriptsPG29_sam.txt PG29 113 1 113
myseq0.fa.r112 0.99 snap_masked-167864594-processed-gene-0.9-mRNA-1 0 7168419 267M311N161M86N204M107N238M157N1137M MD:Z:682C204A520G598 NM:i:3 /projects/btl/kgagalova/PHD_projects/SpruceUp/KollectorGeneReconstruction3species/PreliminaryResults1June/data/OverlapTranscriptsPG29_sam.txt PG29 311,86,107,157 4 311,86,107,157
myseq3000.fa.r112 0.99 snap_masked-167217061-processed-gene-0.3-mRNA-1 0 9142680 2238M MD:Z:122T248A23G93T32C117T69A213C148T162T109T233T356A83A32C20C146T15 NM:i:17 /projects/btl/kgagalova/PHD_projects/SpruceUp/KollectorGeneReconstruction3species/PreliminaryResults1June/data/OverlapTranscriptsPG29_sam.txt PG29 NA 0 NA
myseq0.fa.r112 0.99 maker-168276031-augustus-gene-0.10-mRNA-2 16 7168596 796M275N164M138N112M187N162M584N93M114N201M984N207M101N321M73N36M MD:Z:15G55C21T139G68C47C28C588C225T244T106A333A201G9 NM:i:13 /projects/btl/kgagalova/PHD_projects/SpruceUp/KollectorGeneReconstruction3species/PreliminaryResults1June/data/OverlapTranscriptsPG29_sam.txt PG29 275,138,187,584,114,984,101,73 8 73,101,984,114,584,187,138,275
myseq12000.fa.r112 0.99 augustus_masked-166939593-processed-gene-0.0-mRNA-1 0 5880572 405M MD:Z:405 NM:i:0 /projects/btl/kgagalova/PHD_projects/SpruceUp/KollectorGeneReconstruction3species/PreliminaryResults1June/data/OverlapTranscriptsPG29_sam.txt PG29 NA 0 NA
myseq0.fa.r112 0.99 maker-168325785-augustus-gene-0.12-mRNA-1 0 7167042 62M143N140M223N398M MD:Z:169G254C34C140 NM:i:3 /projects/btl/kgagalova/PHD_projects/SpruceUp/KollectorGeneReconstruction3species/PreliminaryResults1June/data/OverlapTranscriptsPG29_sam.txt PG29 143,223 2 143,223
myseq0.fa.r112 0.99 maker-168248456-augustus-gene-0.4-mRNA-1 16 7162148 128M131N171M103N231M96N502M103N131M304N57M MD:Z:188A150G2C57T7G38A60A25C24G131TT11A209T28T5T106T46A63T52 NM:i:18 /projects/btl/kgagalova/PHD_projects/SpruceUp/KollectorGeneReconstruction3species/PreliminaryResults1June/data/OverlapTranscriptsPG29_sam.txt PG29 131,103,96,103,304 5 304,103,96,103,131
