bin coverage transcript strand gene cigar MD NM
cdhit-output-4_18.iteration.1 0.99 snap_masked-92073787-processed-gene-0.1-mRNA-1 16 3684716 411M MD:Z:22T234T153 NM:i:2
cdhit-output-4_18.iteration.1 0.99 snap_masked-85511505-processed-gene-0.1-mRNA-1 0 3722524 216M MD:Z:216 NM:i:0
cdhit-output-4_15.iteration.1 0.99 snap_masked-60304503-processed-gene-0.2-mRNA-1 0 3575853 397M MD:Z:66G234T95 NM:i:2
cdhit-output-4_11.iteration.1 0.99 snap_masked-38781969-processed-gene-0.1-mRNA-1 0 3287915 378M MD:Z:74G12C52G237 NM:i:3
cdhit-output-4_18.iteration.1 0.99 snap_masked-25856054-processed-gene-0.2-mRNA-1 16 3750983 1250M MD:Z:168G380C17C503C119G36G21 NM:i:6
cdhit-output-4_17.iteration.1 0.99 snap_masked-17380839-processed-gene-0.2-mRNA-1 16 3052413 366M MD:Z:366 NM:i:0
cdhit-output-4_16.iteration.1 0.99 snap_masked-168577634-processed-gene-0.43-mRNA-1 0 3019523 300M MD:Z:300 NM:i:0
cdhit-output-4_8.iteration.1 0.99 snap_masked-168577532-processed-gene-0.60-mRNA-1 0 4466881 333M MD:Z:333 NM:i:0
cdhit-output-4_14.iteration.1 0.99 snap_masked-168577477-processed-gene-0.22-mRNA-1 16 3011476 2460M MD:Z:206C153A36T84T632A229G633A164C66G68T31T46G100 NM:i:12
cdhit-output-4_17.iteration.1 0.99 snap_masked-168577460-processed-gene-0.66-mRNA-1 16 3052010 213M MD:Z:213 NM:i:0
cdhit-output-4_12.iteration.1 0.99 snap_masked-168577450-processed-gene-0.71-mRNA-1 16 3364928 603M MD:Z:197G66C338 NM:i:2
cdhit-output-4_14.iteration.1 0.99 snap_masked-168577392-processed-gene-0.81-mRNA-1 16 2942491 402M MD:Z:17A82G301 NM:i:2
cdhit-output-4_15.iteration.1 0.99 snap_masked-168577362-processed-gene-0.87-mRNA-1 0 3495550 741M MD:Z:741 NM:i:0
cdhit-output-4_10.iteration.2 0.99 snap_masked-168577239-processed-gene-1.47-mRNA-1 16 3039646 394M MD:Z:138G139T16T98 NM:i:3
cdhit-output-4_11.iteration.1 0.99 snap_masked-168577195-processed-gene-0.29-mRNA-1 16 3287756 441M MD:Z:213C13C10C202 NM:i:3
cdhit-output-4_9.iteration.1 0.99 snap_masked-168577173-processed-gene-1.109-mRNA-1 0 3187082 285M MD:Z:135A78A70 NM:i:2
cdhit-output-4_18.iteration.1 0.99 snap_masked-168576983-processed-gene-0.107-mRNA-1 0 3751070 273M MD:Z:117T155 NM:i:1
cdhit-output-4_9.iteration.1 0.99 snap_masked-168576939-processed-gene-1.150-mRNA-1 0 3187052 342M MD:Z:342 NM:i:0
cdhit-output-4_9.iteration.1 0.99 snap_masked-168576761-processed-gene-0.116-mRNA-1 16 3261030 366M MD:Z:85C280 NM:i:1
cdhit-output-4_14.iteration.1 0.99 snap_masked-168576560-processed-gene-0.43-mRNA-1 0 3012215 345M MD:Z:345 NM:i:0
cdhit-output-4_13.iteration.1 0.99 snap_masked-168575692-processed-gene-0.50-mRNA-1 16 3873837 1212M MD:Z:1212 NM:i:0
cdhit-output-4_9.iteration.1 0.99 snap_masked-168574317-processed-gene-0.17-mRNA-1 16 3260033 531M MD:Z:531 NM:i:0
cdhit-output-4_16.iteration.1 0.99 snap_masked-168574115-processed-gene-0.30-mRNA-1 16 3092660 381M MD:Z:260T15G104 NM:i:2
cdhit-output-4_12.iteration.1 0.99 snap_masked-168573956-processed-gene-0.66-mRNA-1 0 972351 210M MD:Z:210 NM:i:0
cdhit-output-4_16.iteration.1 0.99 snap_masked-168573174-processed-gene-0.31-mRNA-1 0 3093484 1116M MD:Z:440T203T471 NM:i:2
cdhit-output-4_14.iteration.1 0.99 snap_masked-168572839-processed-gene-0.10-mRNA-1 0 3011289 2694M MD:Z:91G6G26C44T115G225G152G83C217G78T402C296G21G46A269A108C99T399 NM:i:17
