bin coverage transcript strand gene cigar MD NM
myseq12000.fa.r112 0.99 snap_masked-92073787-processed-gene-0.1-mRNA-1 16 7715521 411M MD:Z:129A127T153 NM:i:2
myseq12000.fa.r112 0.99 snap_masked-85511505-processed-gene-0.1-mRNA-1 0 7624491 216M MD:Z:216 NM:i:0
myseq9000.fa.r112 0.99 snap_masked-60304503-processed-gene-0.2-mRNA-1 16 9255630 397M MD:Z:95A234C66 NM:i:2
myseq3000.fa.r112 0.99 snap_masked-38781969-processed-gene-0.1-mRNA-1 0 9176017 378M MD:Z:74G12C52G237 NM:i:3
myseq12000.fa.r112 0.99 snap_masked-25856054-processed-gene-0.2-mRNA-1 16 7687339 1250M MD:Z:168G380C17C623G36G21 NM:i:5
myseq12000.fa.r112 0.99 snap_masked-17380839-processed-gene-0.2-mRNA-1 16 7644782 366M MD:Z:366 NM:i:0
myseq12000.fa.r112 0.99 snap_masked-168577634-processed-gene-0.43-mRNA-1 16 7646372 300M MD:Z:300 NM:i:0
myseq6000.fa.r112 0.99 snap_masked-168577549-processed-gene-0.64-mRNA-1 0 6758709 507M MD:Z:507 NM:i:0
myseq0.fa.r112 0.99 snap_masked-168577532-processed-gene-0.60-mRNA-1 16 7127226 333M MD:Z:333 NM:i:0
myseq9000.fa.r112 0.99 snap_masked-168577477-processed-gene-0.22-mRNA-1 16 9300387 2460M MD:Z:206C153A36T84T632A229G633A164C66G5T94T46G100 NM:i:12
myseq12000.fa.r112 0.99 snap_masked-168577460-processed-gene-0.66-mRNA-1 0 4742417 213M MD:Z:213 NM:i:0
myseq3000.fa.r112 0.99 snap_masked-168577450-processed-gene-0.71-mRNA-1 16 9163943 603M MD:Z:197G66C338 NM:i:2
myseq6000.fa.r112 0.99 snap_masked-168577392-processed-gene-0.81-mRNA-1 0 6792891 402M MD:Z:301C82T17 NM:i:2
myseq9000.fa.r112 0.99 snap_masked-168577362-processed-gene-0.87-mRNA-1 16 9213384 741M MD:Z:741 NM:i:0
myseq12000.fa.r112 0.99 snap_masked-168577338-processed-gene-0.37-mRNA-1 0 7646937 243M MD:Z:243 NM:i:0
myseq0.fa.r112 0.99 snap_masked-168577239-processed-gene-1.47-mRNA-1 16 7159647 394M MD:Z:138G139T115 NM:i:2
myseq3000.fa.r112 0.99 snap_masked-168577195-processed-gene-0.29-mRNA-1 16 9265896 441M MD:Z:213C13C10C202 NM:i:3
myseq0.fa.r112 0.99 snap_masked-168577173-processed-gene-1.109-mRNA-1 16 369788 285M MD:Z:285 NM:i:0
myseq12000.fa.r112 0.99 snap_masked-168576983-processed-gene-0.107-mRNA-1 0 7713359 273M MD:Z:273 NM:i:0
myseq0.fa.r112 0.99 snap_masked-168576939-processed-gene-1.150-mRNA-1 16 7098869 342M MD:Z:342 NM:i:0
myseq0.fa.r112 0.99 snap_masked-168576761-processed-gene-0.116-mRNA-1 0 7165537 366M MD:Z:280G85 NM:i:1
myseq9000.fa.r112 0.99 snap_masked-168576560-processed-gene-0.43-mRNA-1 0 9139897 345M MD:Z:36G308 NM:i:1
myseq6000.fa.r112 0.99 snap_masked-168575692-processed-gene-0.50-mRNA-1 0 6815508 1212M MD:Z:1212 NM:i:0
myseq0.fa.r112 0.99 snap_masked-168574317-processed-gene-0.17-mRNA-1 0 7130766 531M MD:Z:531 NM:i:0
myseq9000.fa.r112 0.99 snap_masked-168574115-processed-gene-0.30-mRNA-1 0 7022322 381M MD:Z:104C276 NM:i:1
myseq3000.fa.r112 0.99 snap_masked-168573956-processed-gene-0.66-mRNA-1 0 9299690 210M MD:Z:210 NM:i:0
