OG0012312	E0M31_00068937-RA	ABT39_00020472-RA
OG0012315	E0M31_00014648-RC	ABT39_00035779-RB
OG0012317	E0M31_00074535-RA	ABT39_00004127-RB
OG0012318	E0M31_00006770-RA	ABT39_00029388-RB
OG0012323	E0M31_00051737-RA	ABT39_00006019-RB
OG0012324	E0M31_00014407-RA	ABT39_00036303-RB
OG0012325	E0M31_00033212-RA	ABT39_00049010-RA
OG0012326	E0M31_00064565-RA	ABT39_00019772-RA
OG0012327	E0M31_00002532-RA	ABT39_00045957-RB
OG0012328	E0M31_00032083-RA	ABT39_00073371-RA
OG0012329	E0M31_00067899-RA	ABT39_00097844-RA
OG0012330	E0M31_00006443-RA	ABT39_00065661-RA
OG0012331	E0M31_00044687-RA	ABT39_00044500-RA
OG0012332	E0M31_00020658-RA	ABT39_00087024-RB
OG0012335	E0M31_00031406-RA	ABT39_00063658-RA
OG0012338	E0M31_00066504-RB	ABT39_00102344-RA
OG0012341	E0M31_00078435-RA	ABT39_00101503-RA
OG0012343	E0M31_00012202-RA	ABT39_00026945-RB
OG0012346	E0M31_00062090-RA	ABT39_00038979-RA
OG0012347	E0M31_00035410-RA	ABT39_00073770-RA
OG0012348	E0M31_00047515-RA	ABT39_00022912-RA
OG0012349	E0M31_00067491-RA	ABT39_00030847-RA
OG0012350	E0M31_00037362-RA	ABT39_00071215-RA
OG0012351	E0M31_00030015-RA	ABT39_00058575-RA
OG0012352	E0M31_00045462-RB	ABT39_00096325-RA
OG0012353	E0M31_00035631-RB	ABT39_00014471-RC
OG0012354	E0M31_00007968-RA	ABT39_00094560-RA
OG0012355	E0M31_00036948-RA	ABT39_00098788-RA
OG0012356	E0M31_00027544-RA	ABT39_00091034-RA
OG0012359	E0M31_00036583-RA	ABT39_00003502-RA
OG0012360	E0M31_00021610-RA	ABT39_00003660-RB
OG0012361	E0M31_00051647-RA	ABT39_00048013-RA
OG0012363	E0M31_00065733-RA	ABT39_00085654-RA
OG0012365	E0M31_00046027-RA	ABT39_00033662-RA
OG0012370	E0M31_00018011-RA	ABT39_00015310-RA
OG0012371	E0M31_00040666-RB	ABT39_00005865-RB
OG0012372	E0M31_00048091-RA	ABT39_00001084-RA
OG0012373	E0M31_00054744-RA	ABT39_00001344-RB
OG0012374	E0M31_00014178-RC	ABT39_00001348-RB
OG0012378	E0M31_00024633-RF	ABT39_00016366-RA
OG0012380	E0M31_00021185-RA	ABT39_00059318-RA
OG0012381	E0M31_00065608-RA	ABT39_00062766-RA
OG0012385	E0M31_00008645-RA	ABT39_00030886-RA
OG0012386	E0M31_00078985-RA	ABT39_00046731-RA
OG0012387	E0M31_00058552-RA	ABT39_00111343-RA
OG0012388	E0M31_00043282-RA	ABT39_00020465-RB
OG0012389	E0M31_00057707-RA	ABT39_00099901-RA
OG0012390	E0M31_00048034-RB	ABT39_00041961-RA
OG0012391	E0M31_00005705-RA	ABT39_00053848-RA
OG0012393	E0M31_00016836-RA	ABT39_00055285-RA
OG0012395	E0M31_00063301-RB	ABT39_00043419-RA
OG0012397	E0M31_00001471-RI	ABT39_00026851-RA
OG0012398	E0M31_00037774-RA	ABT39_00025823-RA
OG0012399	E0M31_00009471-RA	ABT39_00010602-RB
OG0012401	E0M31_00014770-RA	ABT39_00058974-RA
OG0012402	E0M31_00056391-RA	ABT39_00075836-RB
OG0012403	E0M31_00005527-RA	ABT39_00049555-RA
OG0012404	E0M31_00028230-RB	ABT39_00029005-RB
OG0012405	E0M31_00042408-RA	ABT39_00057787-RA
OG0012408	E0M31_00014713-RB	ABT39_00017884-RB
OG0012409	E0M31_00031814-RA	ABT39_00038706-RA
OG0012410	E0M31_00052623-RA	ABT39_00019649-RA
OG0012412	E0M31_00017961-RF	ABT39_00007460-RB
OG0012413	E0M31_00062972-RA	ABT39_00048842-RA
OG0012414	E0M31_00004047-RF	ABT39_00007302-RB
OG0012415	E0M31_00028318-RA	ABT39_00032187-RE
OG0012416	E0M31_00065319-RA	ABT39_00113863-RA
OG0012419	E0M31_00077801-RA	ABT39_00024491-RA
OG0012420	E0M31_00023257-RC	ABT39_00015878-RC
OG0012421	E0M31_00028161-RA	ABT39_00021971-RA
OG0012422	E0M31_00003790-RA	ABT39_00043388-RA
OG0012423	E0M31_00021645-RA	ABT39_00046985-RA
OG0012425	E0M31_00003989-RC	ABT39_00072637-RB
OG0012426	E0M31_00001641-RC	ABT39_00002524-RF
OG0012429	E0M31_00039066-RA	ABT39_00034064-RA
OG0012430	E0M31_00005119-RC	ABT39_00035118-RA
OG0012431	E0M31_00055949-RB	ABT39_00077207-RA
OG0012432	E0M31_00044494-RA	ABT39_00106124-RA
OG0012433	E0M31_00020990-RA	ABT39_00043626-RA
OG0012434	E0M31_00060117-RA	ABT39_00038434-RA
OG0012435	E0M31_00070287-RA	ABT39_00002237-RB
OG0012436	E0M31_00011226-RB	ABT39_00002706-RC
OG0012440	E0M31_00072039-RA	ABT39_00012074-RA
OG0012441	E0M31_00007276-RA	ABT39_00018490-RA
OG0012443	E0M31_00042007-RA	ABT39_00009293-RC
OG0012444	E0M31_00028342-RA	ABT39_00017399-RA
OG0012446	E0M31_00023137-RA	ABT39_00091023-RA
OG0012448	E0M31_00013145-RB	ABT39_00008686-RG
OG0012449	E0M31_00027316-RA	ABT39_00001043-RA
OG0012452	E0M31_00005359-RG	ABT39_00011168-RB
OG0012453	E0M31_00023992-RA	ABT39_00032758-RC
OG0012455	E0M31_00059974-RA	ABT39_00072789-RA
OG0012456	E0M31_00070563-RA	ABT39_00031428-RA
OG0012458	E0M31_00057737-RB	ABT39_00101867-RA
OG0012461	E0M31_00064749-RA	ABT39_00112206-RA
OG0012466	E0M31_00017223-RA	ABT39_00050429-RB
OG0012468	E0M31_00066899-RA	ABT39_00088474-RA
OG0012469	E0M31_00044318-RA	ABT39_00082545-RA
OG0012470	E0M31_00023541-RB	ABT39_00022540-RB
OG0012474	E0M31_00010703-RB	ABT39_00055004-RA
OG0012475	E0M31_00039956-RA	ABT39_00022128-RC
OG0012476	E0M31_00071789-RA	ABT39_00098652-RA
OG0012477	E0M31_00049640-RA	ABT39_00074804-RB
OG0012479	E0M31_00040354-RB	ABT39_00058318-RB
OG0012480	E0M31_00014853-RC	ABT39_00028965-RC
OG0012481	E0M31_00036176-RC	ABT39_00054898-RB
OG0012486	E0M31_00020718-RA	ABT39_00101025-RA
OG0012488	E0M31_00047659-RC	ABT39_00061171-RC
OG0012489	E0M31_00072412-RA	ABT39_00068132-RB
OG0012490	E0M31_00039248-RA	ABT39_00113777-RA
OG0012494	E0M31_00083569-RA	ABT39_00076729-RA
OG0012496	E0M31_00011171-RA	ABT39_00013130-RA
OG0012499	E0M31_00003566-RB	ABT39_00011235-RC
OG0012502	E0M31_00000912-RC	ABT39_00022650-RC
OG0012503	E0M31_00063549-RA	ABT39_00099385-RA
OG0012504	E0M31_00036733-RA	ABT39_00063022-RA
OG0012506	E0M31_00011932-RA	ABT39_00073275-RB
OG0012511	E0M31_00045344-RA	ABT39_00109097-RA
OG0012514	E0M31_00013998-RA	ABT39_00046245-RA
OG0012515	E0M31_00012487-RB	ABT39_00030321-RB
OG0012521	E0M31_00072320-RA	ABT39_00064754-RA
OG0012523	E0M31_00032524-RB	ABT39_00047928-RA
OG0012525	E0M31_00014192-RA	ABT39_00021430-RA
OG0012526	E0M31_00001478-RA	ABT39_00044459-RA
OG0012527	E0M31_00008452-RA	ABT39_00021274-RB
OG0012528	E0M31_00043645-RB	ABT39_00005742-RB
OG0012529	E0M31_00031502-RB	ABT39_00059548-RA
OG0012530	E0M31_00035894-RA	ABT39_00001702-RB
OG0012532	E0M31_00064824-RA	ABT39_00010102-RA
OG0012533	E0M31_00025578-RA	ABT39_00041036-RB
OG0012534	E0M31_00001101-RH	ABT39_00065685-RA
OG0012535	E0M31_00064421-RA	ABT39_00079091-RB
OG0012538	E0M31_00084845-RA	ABT39_00007033-RA
OG0012541	E0M31_00002398-RA	ABT39_00036671-RA
OG0012542	E0M31_00087942-RA	ABT39_00118488-RA
OG0012543	E0M31_00071869-RA	ABT39_00086621-RB
OG0012544	E0M31_00027555-RA	ABT39_00021973-RD
OG0012545	E0M31_00041689-RA	ABT39_00094781-RA
OG0012546	E0M31_00017842-RA	ABT39_00065016-RA
OG0012547	E0M31_00081590-RA	ABT39_00107272-RA
OG0012550	E0M31_00025092-RA	ABT39_00003341-RE
OG0012552	E0M31_00051037-RA	ABT39_00028455-RA
OG0012553	E0M31_00074094-RA	ABT39_00015441-RB
OG0012554	E0M31_00067326-RA	ABT39_00093199-RA
OG0012556	E0M31_00015102-RB	ABT39_00028995-RA
OG0012557	E0M31_00075464-RA	ABT39_00048443-RA
OG0012560	E0M31_00051432-RA	ABT39_00083946-RA
OG0012561	E0M31_00079760-RA	ABT39_00063475-RA
OG0012562	E0M31_00014205-RE	ABT39_00005975-RF
OG0012563	E0M31_00091435-RA	ABT39_00071491-RA
OG0012564	E0M31_00017612-RE	ABT39_00034342-RE
OG0012565	E0M31_00027055-RA	ABT39_00103680-RA
OG0012569	E0M31_00002350-RD	ABT39_00012457-RA
OG0012570	E0M31_00017514-RA	ABT39_00039408-RA
OG0012572	E0M31_00081490-RA	ABT39_00010487-RA
OG0012574	E0M31_00002751-RB	ABT39_00035914-RA
OG0012576	E0M31_00002032-RA	ABT39_00010111-RA
OG0012579	E0M31_00071254-RA	ABT39_00028981-RA
OG0012580	E0M31_00041098-RA	ABT39_00025778-RA
OG0012581	E0M31_00056322-RA	ABT39_00017677-RA
OG0012583	E0M31_00080935-RA	ABT39_00018782-RA
OG0012585	E0M31_00030685-RA	ABT39_00050201-RA
OG0012587	E0M31_00049556-RA	ABT39_00055143-RA
OG0012588	E0M31_00000603-RA	ABT39_00059564-RA
OG0012589	E0M31_00008672-RA	ABT39_00040422-RA
OG0012591	E0M31_00055650-RB	ABT39_00080972-RA
OG0012592	E0M31_00040464-RA	ABT39_00026507-RA
OG0012593	E0M31_00005959-RA	ABT39_00002990-RA
OG0012594	E0M31_00074540-RA	ABT39_00054985-RB
OG0012595	E0M31_00034987-RA	ABT39_00050151-RA
OG0012596	E0M31_00013753-RA	ABT39_00006822-RF
OG0012598	E0M31_00006957-RA	ABT39_00093402-RA
OG0012599	E0M31_00064548-RA	ABT39_00091632-RA
OG0012600	E0M31_00012782-RA	ABT39_00092940-RA
OG0012606	E0M31_00042118-RC	ABT39_00080496-RB
OG0012607	E0M31_00005421-RB	ABT39_00065727-RA
OG0012611	E0M31_00032042-RB	ABT39_00089837-RA
OG0012615	E0M31_00003871-RA	ABT39_00015285-RA
OG0012616	E0M31_00014931-RA	ABT39_00012648-RA
OG0012617	E0M31_00014929-RD	ABT39_00012645-RA
OG0012618	E0M31_00024715-RA	ABT39_00046022-RA
OG0012622	E0M31_00049396-RA	ABT39_00022012-RA
OG0012623	E0M31_00004269-RA	ABT39_00023787-RA
OG0012624	E0M31_00002449-RA	ABT39_00083768-RA
OG0012625	E0M31_00002898-RC	ABT39_00005627-RD
OG0012629	E0M31_00015077-RB	ABT39_00062225-RB
OG0012630	E0M31_00001107-RD	ABT39_00004907-RA
OG0012631	E0M31_00001104-RA	ABT39_00004910-RA
OG0012632	E0M31_00001105-RC	ABT39_00004909-RC
OG0012635	E0M31_00009151-RA	ABT39_00070312-RB
OG0012636	E0M31_00013209-RA	ABT39_00110074-RA
