bin coverage transcript strand gene cigar MD NM fileName species introns_len introns_num swap.introns_len
myseq0.fa.r112 0.99 augustus_masked-165671819-processed-gene-0.0-mRNA-1 16 7106114 675M MD:Z:517T43T113 NM:i:2 /projects/btl/kgagalova/PHD_projects/SpruceUp/KollectorGeneReconstruction3species/PreliminaryResults1June/data/OverlapTranscriptsPG29_sam.txt PG29 NA 0 NA
myseq0.fa.r112 0.99 snap_masked-168577532-processed-gene-0.60-mRNA-1 16 7127226 333M MD:Z:333 NM:i:0 /projects/btl/kgagalova/PHD_projects/SpruceUp/KollectorGeneReconstruction3species/PreliminaryResults1June/data/OverlapTranscriptsPG29_sam.txt PG29 NA 0 NA
myseq0.fa.r112 0.99 maker-168304419-snap-gene-0.21-mRNA-1 16 7143957 1369M125N130M136N380M MD:Z:493T97C539A549A88A108 NM:i:5 /projects/btl/kgagalova/PHD_projects/SpruceUp/KollectorGeneReconstruction3species/PreliminaryResults1June/data/OverlapTranscriptsPG29_sam.txt PG29 125,136 2 136,125
myseq0.fa.r112 0.99 snap_masked-167263573-processed-gene-0.2-mRNA-1 16 7168502 956M464N1774M MD:Z:458G299T18T606T391C89A730A132 NM:i:7 /projects/btl/kgagalova/PHD_projects/SpruceUp/KollectorGeneReconstruction3species/PreliminaryResults1June/data/OverlapTranscriptsPG29_sam.txt PG29 464 1 464
myseq9000.fa.r112 0.99 snap_masked-168184386-processed-gene-0.10-mRNA-1 16 9212346 246M MD:Z:246 NM:i:0 /projects/btl/kgagalova/PHD_projects/SpruceUp/KollectorGeneReconstruction3species/PreliminaryResults1June/data/OverlapTranscriptsPG29_sam.txt PG29 NA 0 NA
myseq12000.fa.r112 0.99 maker-167166966-augustus-gene-0.3-mRNA-1 16 7630348 746M344N105M89N99M94N160M136N78M158N139M101N145M266N63M135N60M227N78M473N75M102N117M130N231M143N120M182N77M155N101M121N107M72N102M987N158M1035N39M942N474M MD:Z:1550A434C89G161T2T982G50 NM:i:6 /projects/btl/kgagalova/PHD_projects/SpruceUp/KollectorGeneReconstruction3species/PreliminaryResults1June/data/OverlapTranscriptsPG29_sam.txt PG29 344,89,94,136,158,101,266,135,227,473,102,130,143,182,155,121,72,987,1035,942 20 942,1035,987,72,121,155,182,143,130,102,473,227,135,266,101,158,136,94,89,344
myseq0.fa.r112 0.99 augustus_masked-166957201-processed-gene-0.0-mRNA-1 0 7169111 1421M MD:Z:197A529T693 NM:i:2 /projects/btl/kgagalova/PHD_projects/SpruceUp/KollectorGeneReconstruction3species/PreliminaryResults1June/data/OverlapTranscriptsPG29_sam.txt PG29 NA 0 NA
myseq0.fa.r112 0.99 augustus_masked-164159076-processed-gene-0.0-mRNA-1 16 7124947 166M90N523M88N199M MD:Z:14A62A139T25T64T7G39C46G4C14A31G4T58C36G23C110TG130T46C17 NM:i:19 /projects/btl/kgagalova/PHD_projects/SpruceUp/KollectorGeneReconstruction3species/PreliminaryResults1June/data/OverlapTranscriptsPG29_sam.txt PG29 90,88 2 88,90
myseq12000.fa.r112 0.99 augustus_masked-161520615-processed-gene-0.1-mRNA-1 0 7729342 1488M MD:Z:245A353A407G480 NM:i:3 /projects/btl/kgagalova/PHD_projects/SpruceUp/KollectorGeneReconstruction3species/PreliminaryResults1June/data/OverlapTranscriptsPG29_sam.txt PG29 NA 0 NA
myseq0.fa.r112 0.99 augustus_masked-168437115-processed-gene-0.0-mRNA-1 0 7097645 16M96N107M218N88M118N274M149N37M MD:Z:110G6T28T1G16A6A277C71 NM:i:7 /projects/btl/kgagalova/PHD_projects/SpruceUp/KollectorGeneReconstruction3species/PreliminaryResults1June/data/OverlapTranscriptsPG29_sam.txt PG29 96,218,118,149 4 96,218,118,149
myseq12000.fa.r112 0.99 augustus_masked-166398839-processed-gene-0.0-mRNA-1 16 52694 312M MD:Z:39T8T20TG6T7T26GC19C9T14A15T10C3C122 NM:i:14 /projects/btl/kgagalova/PHD_projects/SpruceUp/KollectorGeneReconstruction3species/PreliminaryResults1June/data/OverlapTranscriptsPG29_sam.txt PG29 NA 0 NA
myseq0.fa.r112 0.99 augustus_masked-168547071-processed-gene-0.10-mRNA-1 16 7121509 834M MD:Z:363G258G211 NM:i:2 /projects/btl/kgagalova/PHD_projects/SpruceUp/KollectorGeneReconstruction3species/PreliminaryResults1June/data/OverlapTranscriptsPG29_sam.txt PG29 NA 0 NA
myseq9000.fa.r112 0.99 genemark-164660961-processed-gene-0.1-mRNA-1 0 9259892 406M MD:Z:71T136T104G57AA28C4 NM:i:6 /projects/btl/kgagalova/PHD_projects/SpruceUp/KollectorGeneReconstruction3species/PreliminaryResults1June/data/OverlapTranscriptsPG29_sam.txt PG29 NA 0 NA
