bin coverage transcript strand gene cigar MD NM introns_len introns_num
myseq0.fa.r112 0.99 snap_masked-168577338-processed-gene-0.41-mRNA-1 0 7057079 101M423N443M145N1381M522N42M MD:Z:382G67G486G283T745 NM:i:4 423,145,522 3
myseq0.fa.r112 0.99 snap_masked-168577194-processed-gene-0.81-mRNA-1 16 7168573 153M243N1812M MD:Z:4G62T45A130A16T281T104A5G295T3G26C32G41A297G69C540 NM:i:15 243 1
myseq12000.fa.r112 0.99 snap_masked-168574374-processed-gene-0.5-mRNA-1 16 7643441 306M286N24M MD:Z:41CC4T168T113 NM:i:4 286 1
myseq9000.fa.r112 0.99 snap_masked-168573174-processed-gene-0.31-mRNA-1 0 9303940 392M506N724M MD:Z:440T45C91C363C79T93 NM:i:5 506 1
myseq9000.fa.r112 0.99 snap_masked-168562031-processed-gene-0.24-mRNA-1 16 9143311 33M116N418M190N41M MD:Z:492 NM:i:0 116,190 2
myseq12000.fa.r112 0.99 snap_masked-168556862-processed-gene-0.16-mRNA-1 0 7589010 2077M172N78M631N77M MD:Z:21T79T68T116A107C2A2C23G149C62T83T36GA164G447A56G385G122A36T41A11C51G8A37A50A51 NM:i:25 172,631 2
myseq12000.fa.r112 0.99 snap_masked-168551638-processed-gene-2.60-mRNA-1 0 7676168 209M223N58M112N121M179N241M179N136M973N19M MD:Z:784 NM:i:0 223,112,179,179,973 5
myseq0.fa.r112 0.99 snap_masked-168548591-processed-gene-0.37-mRNA-1 0 7120060 44M271N99M96N418M MD:Z:65T79A15T153G245 NM:i:4 271,96 2
myseq12000.fa.r112 0.99 snap_masked-168543491-processed-gene-0.29-mRNA-1 0 7621520 1779M19N33M MD:Z:372G449T99A494C394 NM:i:4 19 1
myseq12000.fa.r112 0.99 snap_masked-168540994-processed-gene-0.53-mRNA-1 0 7739569 101M217N694M438N663M MD:Z:323C290C491A2A86A224T36 NM:i:6 217,438 2
myseq9000.fa.r112 0.99 snap_masked-168534233-processed-gene-0.46-mRNA-1 0 9249694 444M1288N168M MD:Z:268C25A317 NM:i:2 1288 1
myseq12000.fa.r112 0.99 snap_masked-168532811-processed-gene-0.13-mRNA-1 0 7751201 162M1147N774M10N60M MD:Z:953G42 NM:i:1 1147,10 2
myseq12000.fa.r112 0.99 snap_masked-168530744-processed-gene-0.27-mRNA-1 16 7747311 180M134N98M103N137M112N14M MD:Z:352A76 NM:i:1 134,103,112 3
myseq12000.fa.r112 0.99 snap_masked-168528202-processed-gene-0.20-mRNA-1 0 7733674 917M51N523M MD:Z:77T122A7T72A38G160A96T861 NM:i:7 51 1
myseq0.fa.r112 0.99 snap_masked-168520139-processed-gene-0.21-mRNA-1 0 6336575 249M218N468M MD:Z:717 NM:i:0 218 1
myseq3000.fa.r112 0.99 snap_masked-168515263-processed-gene-0.115-mRNA-1 0 9205671 37M104N193M382N187M136N369M153N155M MD:Z:941 NM:i:0 104,382,136,153 4
myseq3000.fa.r112 0.99 snap_masked-168510113-processed-gene-0.6-mRNA-1 16 9300921 1161M156N687M MD:Z:35T531A221C350A92G410G26T176 NM:i:7 156 1
myseq12000.fa.r112 0.99 snap_masked-168497897-processed-gene-0.70-mRNA-1 0 7680718 70M483N72M363N365M MD:Z:507 NM:i:0 483,363 2
myseq9000.fa.r112 0.99 snap_masked-168493775-processed-gene-0.11-mRNA-1 16 7960541 15M175N291M192N237M356N149M MD:Z:692 NM:i:0 175,192,356 3
myseq3000.fa.r112 0.99 snap_masked-168451385-processed-gene-0.20-mRNA-1 0 9299049 49M717N329M355N252M MD:Z:69G219C268A71 NM:i:3 717,355 2
myseq6000.fa.r112 0.99 snap_masked-168439309-processed-gene-0.61-mRNA-1 0 6802599 1868M581N116M512N87M430N518M130N551M MD:Z:25G540C56C42A62C243C61T116C94G13T428A113T632G28G1TG31C24G97G81C41A35C103A93A42C45G68 NM:i:26 581,512,430,130 4
myseq3000.fa.r112 0.99 snap_masked-168420937-processed-gene-0.44-mRNA-1 16 9210848 21M16N191M429N274M MD:Z:486 NM:i:0 16,429 2
